PK,SK,kanji_char,component_char,,,
COMPONENT#12,KANJI#1,猫,,,,
COMPONENT#13,KANJI#1,猫,,,,
COMPONENT#14,KANJI#1,猫,,,,
COMPONENT#15,KANJI#1,猫,,,,
COMPONENT#16,KANJI#4,見,,,,
COMPONENT#17,KANJI#4,見,,,,
COMPONENT#18,KANJI#5,捨,,,,
COMPONENT#19,KANJI#5,捨,,,,
COMPONENT#20,KANJI#5,捨,,,,
COMPONENT#21,KANJI#5,捨,,,,
COMPONENT#22,KANJI#7,一,,,,
COMPONENT#23,KANJI#8,右,,,,
COMPONENT#24,KANJI#8,右,,,,
COMPONENT#25,KANJI#9,雨,,,,
COMPONENT#26,KANJI#9,雨,,,,
COMPONENT#27,KANJI#9,雨,,,,
COMPONENT#26,KANJI#10,円,,,,
COMPONENT#28,KANJI#10,円,,,,
COMPONENT#22,KANJI#11,下,,,,
COMPONENT#29,KANJI#11,下,,,,
COMPONENT#30,KANJI#12,火,,,,
COMPONENT#31,KANJI#13,何,,,,
COMPONENT#32,KANJI#13,何,,,,
COMPONENT#24,KANJI#13,何,,,,
COMPONENT#33,KANJI#13,何,,,,
COMPONENT#34,KANJI#17,外,,,,
COMPONENT#29,KANJI#17,外,,,,
COMPONENT#35,KANJI#18,学,,,,
COMPONENT#36,KANJI#18,学,,,,
COMPONENT#37,KANJI#18,学,,,,
COMPONENT#38,KANJI#19,間,,,,
COMPONENT#1,KANJI#19,間,,,,
COMPONENT#39,KANJI#20,気,,,,
COMPONENT#40,KANJI#20,気,,,,
COMPONENT#41,KANJI#21,九,,,,
COMPONENT#42,KANJI#21,九,,,,
COMPONENT#31,KANJI#22,休,,,,
COMPONENT#43,KANJI#22,休,,,,
COMPONENT#44,KANJI#23,金,,,,
COMPONENT#21,KANJI#23,金,,,,
COMPONENT#45,KANJI#23,金,,,,
COMPONENT#11,KANJI#24,月,,,,
COMPONENT#46,KANJI#28,五,,,,
COMPONENT#47,KANJI#28,五,,,,
COMPONENT#48,KANJI#29,午,,,,
COMPONENT#49,KANJI#29,午,,,,
COMPONENT#50,KANJI#29,午,,,,
COMPONENT#51,KANJI#30,後,,,,
COMPONENT#52,KANJI#30,後,,,,
COMPONENT#53,KANJI#30,後,,,,
COMPONENT#54,KANJI#31,語,,,,
COMPONENT#55,KANJI#31,語,,,,
COMPONENT#56,KANJI#31,語,,,,
COMPONENT#24,KANJI#31,語,,,,
COMPONENT#51,KANJI#34,行,,,,
COMPONENT#57,KANJI#34,行,,,,
COMPONENT#33,KANJI#34,行,,,,
COMPONENT#43,KANJI#35,校,,,,
COMPONENT#58,KANJI#35,校,,,,
COMPONENT#59,KANJI#35,校,,,,
COMPONENT#60,KANJI#35,校,,,,
COMPONENT#59,KANJI#36,高,,,,
COMPONENT#24,KANJI#36,高,,,,
COMPONENT#26,KANJI#36,高,,,,
COMPONENT#24,KANJI#37,国,,,,
COMPONENT#61,KANJI#37,国,,,,
COMPONENT#62,KANJI#37,国,,,,
COMPONENT#44,KANJI#38,今,,,,
COMPONENT#63,KANJI#38,今,,,,
COMPONENT#64,KANJI#38,今,,,,
COMPONENT#23,KANJI#39,左,,,,
COMPONENT#65,KANJI#39,左,,,,
COMPONENT#22,KANJI#40,三,,,,
COMPONENT#11,KANJI#40,三,,,,
COMPONENT#66,KANJI#41,山,,,,
COMPONENT#67,KANJI#41,山,,,,
COMPONENT#68,KANJI#42,子,,,,
COMPONENT#22,KANJI#42,子,,,,
COMPONENT#24,KANJI#43,四,,,,
COMPONENT#17,KANJI#43,四,,,,
COMPONENT#69,KANJI#44,時,,,,
COMPONENT#21,KANJI#44,時,,,,
COMPONENT#70,KANJI#44,時,,,,
