kanji,component1,component2,component3, component4,component5
高,亠,口,冂,,
食,𠆢,良,艮,,
電,雨,日,乚,冂,
雨,丶,冂,┬,,
間,門,日,,,
長,,,,,
金,𠆢,土,丷,,
車,申,日,二,丨,
読,言,売,士,儿,
語,言,吾,五,口,
話,言,舌,千,口,
見,目,儿,,,
西,口,儿,一,,
行,彳,亍,丁,,
聞,門,耳,,,
百,白,一,,,
白,日,,,,
男,田,力,,,
生,𠂉,土,牛,,
父,八,乂,,,
火,人,,,,
水,フ,亅,,,
気,气,㐅,,,
毎,毋,𠂉,,,
母,丶,𠃌,,,
校,木,交,亠,父,
東,日,木,申,,
来,未,木,丷,,
本,木,十,,,
木,十,,,,
月,二,,,,
書,肀,二,日,,
時,日,寺,土,寸,
日,口,一,,,
後,彳,幺,夂,,
年,午,┌,𠂉,,
左,ナ,工,,,
川,ノ,丨,,,
山,凵,丨,,,
小,八,亅,,,
学,子,⺍,冖,,
子,了,一,,,
女,く,ノ,一,,
天,大,人,一,,
大,人,一,,,
外,夕,卜,,,
土,十,,,,
国,口,玉,王,,
四,口,儿,,,
名,夕,口,,,
右,ナ,口,,,
友,又,ナ,,,
南,干,冂,十,丷,
半,十,二,丷,,
午,𠂉,十,干,,
千,十,,,,
十,一,丨,,,
北,匕,丨,,,
前,⺉,月,一,丷,
分,八,刀,,,
出,山,凵,,,
円,冂,┴,,,
六,八,亠,,,
八,ノ,,,,
入,ノ,,,,
先,𠂉,二,土,儿,
何,亻,可,口,丁,
休,亻,木,,,
今,𠆢,ラ,フ,,
人,ノ,,,,
五,ニ,┌,,,
二,ニ,,,,
九,乙,ノ,,,
中,口,丨,,,
下,一,卜,,,
上,一,┣,,,
三,一,二,,,
万,一,𠃌,ノ,,
七,一,,,,
一,一,,,,
黒,里,灬,,,
鳥,灬,,,,
魚,ク,田,灬,,
験,馬,㑒,灬,,
駅,馬,尺,灬,,
館,食,,,,
飲,飠,欠,,,
飯,飠,反,,,
風,几,虫,,,
題,是,頁,日,龰,貝
音,立,日,,,
青,龶,月,,,
集,隹,木,,,
院,阝,完,,,
開,門,开,,,
銀,金,艮,,,
野,里,矛,,,
重,里,千,,,
道,辶,首,,,
運,辶,軍,車,,
週,辶,周,𠮷,⺆,
通,辶,甬,用,,
送,辶,关,天,,
近,辶,斤,,,
転,車,云,,,
足,口,龰,,,
起,走,己,土,龰,
走,土,龰,,,
赤,土,亦,,,
質,斤,貝,,,
貸,代,貝,目,,
買,罒,貝,,,
試,言,式,エ,弋,
計,言,十,,,
言,,,,,
親,亲,見,立,木,
茶,艹,𠆢,ホ,,
英,艹,央,,,
花,艹,化,イ,ヒ,
色,ク,巴,,,
