PK,SK,character,english,vietnamese,strokes,onyomi,kunyomi,level
KANJI,1,高,high,cao,10,こう,たかい,3
KANJI,2,食,food,đồ ăn,9,しょく,たべる,3
KANJI,3,電,electric,điện,13,でん,,3
KANJI,4,雨,rain,cơn mưa,8,う,あめ,3
KANJI,5,間,between,giữa,12,かん,あいだ,3
KANJI,6,長,long,dài,8,ちょう,ながい,3
KANJI,7,金,gold,vàng,8,きん,かね,3
KANJI,8,車,car,xe hơi,7,しゃ,くるま,3
KANJI,9,読,read,đọc,14,どく,よむ,3
KANJI,10,語,word,từ,14,ご,かたる,3
KANJI,11,話,story,câu chuyện,13,わ,はなす,3
KANJI,12,見,look,xem,7,けん,みる,2
KANJI,13,西,west,phía tây,6,せい,にし,3
KANJI,14,行,line,đường kẻ,6,こう,いく,3
KANJI,15,聞,listen,nghe,14,ぶん,きく,3
KANJI,16,百,hundred,trăm,6,ひゃく,,2
KANJI,17,白,white,trắng,5,はく,しろい,3
KANJI,18,男,man,người đàn ông,7,だん,おとこ,2
KANJI,19,生,raw,thô,5,せい,いきる,3
KANJI,20,父,father,bố,4,ふ,ちち,3
KANJI,21,火,fire,ngọn lửa,4,か,ひ,3
KANJI,22,水,water,nước,4,すい,みず,2
KANJI,23,気,air,không khí,6,き,け,3
KANJI,24,毎,every,mọi,6,まい,,3
KANJI,25,母,mother,mẹ,5,ぼ,はは,3
KANJI,26,校,school,trường học,10,こう,くらべる,3
KANJI,27,東,east,phía đông,8,とう,ひがし,3
KANJI,28,来,next,kế tiếp,7,らい,くる,3
KANJI,29,本,books,sách,5,ほん,もと,2
KANJI,30,木,tree,cây,4,もく,き,3
KANJI,31,月,month,tháng,4,げつ,つき,2
KANJI,32,書,write,viết,10,しょ,かく,2
KANJI,33,時,time,thời gian,11,じ,とき,3
KANJI,34,日,day,ngày,4,にち,ひ,2
KANJI,35,後,rear,ở phía sau,9,ご,あと,3
KANJI,36,年,year,năm,6,ねん,とし,2
KANJI,37,左,left,bên trái,5,さ,ひだり,2
KANJI,38,川,river,dòng sông,3,せん,かわ,3
KANJI,39,山,mountain,núi,3,さん,やま,2
KANJI,40,小,small,bé nhỏ,3,しょう,ちいさい,2
KANJI,41,学,study,học,8,がく,まなぶ,3
KANJI,42,子,child,đứa trẻ,3,し,こ,2
KANJI,43,女,woman,đàn bà,3,じょ,おんな,2
KANJI,44,天,heaven,thiên đường,4,てん,あめ,3
KANJI,45,大,large,lớn,3,だい,おおきい,2
KANJI,46,外,outside,ngoài,5,がい,そと,3
KANJI,47,土,soil,đất,3,ど,つち,3
KANJI,48,国,country,quốc gia,8,こく,くに,3
KANJI,49,四,four,bốn,4,し,よっつ,3
KANJI,50,名,given name,tên đã cho,6,めい,な,3
KANJI,51,右,right,phải,5,う,みぎ,3
KANJI,52,友,friend,bạn bè,4,ゆう,とも,3
KANJI,53,南,south,phía nam,9,なん,みなみ,3
KANJI,54,半,half,một nửa,5,はん,,3
KANJI,55,午,afternoon,buổi chiều,4,ご,ひる,3
KANJI,56,千,thousand,ngàn,3,せん,ち,3
KANJI,57,十,ten,mười,2,じゅう,とお,2
KANJI,58,北,north,phía bắc,5,ほく,きた,3
KANJI,59,前,before,trước,9,ぜん,まえ,2
KANJI,60,分,minutes,phút,4,ぶん,わける,3
KANJI,61,出,out,ngoài,5,しゅつ,でる,2
KANJI,62,円,circle,vòng tròn,4,えん,まるい,2
KANJI,63,六,six,sáu,4,ろく,むっつ,3
KANJI,64,八,eight,tám,2,はち,やっつ,3
KANJI,65,入,enter,đi vào,2,にゅう,はいる,2
KANJI,66,先,destination,điểm đến,6,せん,さき,3
KANJI,67,何,what,gì,7,か,なに,3
KANJI,68,休,closed,đóng lại,6,きゅう,やすむ,3
KANJI,69,今,now,hiện nay,4,こん,いま,3
KANJI,70,人,people,mọi người,2,じん,ひと,2
KANJI,71,五,five,năm,4,ご,いつつ,3
KANJI,72,二,two,hai,2,に,ふたつ,2
KANJI,73,九,nine,chín,2,きゅう,ここのつ,3
KANJI,74,中,medium,trung bình,4,ちゅう,なか,3
KANJI,75,下,under,dưới,3,か,した,2
KANJI,76,上,above,bên trên,3,じょう,うえ,2
KANJI,77,三,three,ba,3,さん,みっつ,2
KANJI,78,万,ten thousand,mười ngàn,3,まん,,3
KANJI,79,七,seven,bảy,2,しち,ななつ,3
KANJI,80,一,one,một,1,いち,ひとつ,2
KANJI,81,黒,,,,,,
KANJI,82,鳥,,,,,,
KANJI,83,魚,,,,,,
KANJI,84,験,,,,,,
KANJI,85,駅,,,,,,
KANJI,86,館,,,,,,
KANJI,87,飲,,,,,,
KANJI,88,飯,,,,,,
KANJI,89,風,,,,,,
KANJI,90,題,,,,,,
KANJI,91,音,,,,,,
KANJI,92,青,blue,màu xanh da trời,8,せい,あおい,3
KANJI,93,集,,,,,,
KANJI,94,院,,,,,,
KANJI,95,開,,,,,,
KANJI,96,銀,,,,,,
KANJI,97,野,,,,,,
KANJI,98,重,,,,,,
KANJI,99,道,,,,,,
KANJI,100,運,,,,,,
KANJI,101,週,week,tuần,11,しゅう,,3
KANJI,102,通,,,,,,
KANJI,103,送,,,,,,
KANJI,104,近,,,,,,
KANJI,105,転,,,,,,
KANJI,106,足,feet,bàn chân,7,そく,あし,2
KANJI,107,起,,,,,,
KANJI,108,走,,,,,,
KANJI,109,赤,red,màu đỏ,7,せき,あかい,3
KANJI,110,質,,,,,,
KANJI,111,貸,,,,,,
KANJI,112,買,buy,mua,12,ばい,かう,3
KANJI,113,試,,,,,,
KANJI,114,計,,,,,,
KANJI,115,言,words,từ,7,げん,いう,3
KANJI,116,親,,,,,,
KANJI,117,茶,,,,,,
KANJI,118,英,,,,,,
KANJI,119,花,flower,hoa,7,か,はな,3
KANJI,120,色,,,,,,
KANJI,121,自,,,,,,
KANJI,122,肉,,,,,,
KANJI,123,者,,,,,,
KANJI,124,考,,,,,,
KANJI,125,習,,,,,,
KANJI,126,終,,,,,,
KANJI,127,紙,,,,,,
KANJI,128,答,,,,,,
KANJI,129,立,standing,đứng,5,りつ,たつ,3
KANJI,130,空,,,,,,
KANJI,131,究,,,,,,
KANJI,132,秋,,,,,,
KANJI,133,私,,,,,,
KANJI,134,社,company,công ty,7,しゃ,やしろ,3
KANJI,135,研,,,,,,
KANJI,136,知,,,,,,
KANJI,137,着,,,,,,
KANJI,138,真,,,,,,
KANJI,139,目,eye,mắt,5,もく,め,2
KANJI,140,的,,,,,,
KANJI,141,発,,,,,,
KANJI,142,病,,,,,,
KANJI,143,界,,,,,,
KANJI,144,画,,,,,,
KANJI,145,町,,,,,,
KANJI,146,田,,,,,,
KANJI,147,用,,,,,,
KANJI,148,理,,,,,,
KANJI,149,犬,dog,chó,4,けん,いぬ,2
KANJI,150,特,,,,,,
KANJI,151,物,,,,,,
KANJI,152,牛,,,,,,
KANJI,153,漢,,,,,,
KANJI,154,海,sea,biển,9,かい,うみ,3
KANJI,155,洋,,,,,,
KANJI,156,注,,,,,,
KANJI,157,死,,,,,,
KANJI,158,歩,,,,,,
KANJI,159,正,,,,,,
KANJI,160,止,,,,,,
KANJI,161,歌,,,,,,
KANJI,162,楽,,,,,,
KANJI,163,業,,,,,,
KANJI,164,朝,,,,,,
KANJI,165,服,,,,,,
KANJI,166,有,,,,,,
KANJI,167,曜,,,,,,
KANJI,168,昼,,,,,,
KANJI,169,春,,,,,,
KANJI,170,映,,,,,,
KANJI,171,明,,,,,,
KANJI,172,早,,,,,,
KANJI,173,族,,,,,,
KANJI,174,旅,,,,,,
KANJI,175,方,,,,,,
KANJI,176,新,,,,,,
KANJI,177,料,,,,,,
KANJI,178,文,,,,,,
KANJI,179,教,,,,,,
KANJI,180,持,,,,,,
KANJI,181,手,hand,tay,4,しゅ,て,2
KANJI,182,意,,,,,,
KANJI,183,悪,,,,,,
KANJI,184,急,,,,,,
KANJI,185,思,,,,,,
KANJI,186,心,,,,,,
KANJI,187,待,,,,,,
KANJI,188,強,,,,,,
KANJI,189,弟,,,,,,
KANJI,190,建,,,,,,
KANJI,191,度,,,,,,
KANJI,192,店,shop,cửa hàng,8,てん,みせ,3
KANJI,193,広,wide,rộng,5,こう,ひろい,3
KANJI,194,帰,,,,,,
KANJI,195,工,,,,,,
KANJI,196,屋,,,,,,
KANJI,197,少,,,,,,
