PK,SK,kanji_char,component_char,,,EntityType
COMPONENT#127,KANJI#1,高,亠,,,ComponentKanji
COMPONENT#285,KANJI#1,高,口,,,ComponentKanji
COMPONENT#188,KANJI#1,高,冂,,,ComponentKanji
COMPONENT#909,KANJI#2,食,𠆢,,,ComponentKanji
COMPONENT#776,KANJI#2,食,良,,,ComponentKanji
COMPONENT#775,KANJI#2,食,艮,,,ComponentKanji
COMPONENT#865,KANJI#3,電,雨,,,ComponentKanji
COMPONENT#538,KANJI#3,電,日,,,ComponentKanji
COMPONENT#108,KANJI#3,電,乚,,,ComponentKanji
COMPONENT#188,KANJI#3,電,冂,,,ComponentKanji
COMPONENT#92,KANJI#4,雨,丶,,,ComponentKanji
COMPONENT#188,KANJI#4,雨,冂,,,ComponentKanji
COMPONENT#3,KANJI#4,雨,┬,,,ComponentKanji
COMPONENT#853,KANJI#5,間,門,,,ComponentKanji
COMPONENT#538,KANJI#5,間,日,,,ComponentKanji
COMPONENT#909,KANJI#7,金,𠆢,,,ComponentKanji
COMPONENT#327,KANJI#7,金,土,,,ComponentKanji
COMPONENT#93,KANJI#7,金,丷,,,ComponentKanji
COMPONENT#663,KANJI#8,車,申,,,ComponentKanji
COMPONENT#538,KANJI#8,車,日,,,ComponentKanji
COMPONENT#117,KANJI#8,車,二,,,ComponentKanji
COMPONENT#86,KANJI#8,車,丨,,,ComponentKanji
COMPONENT#810,KANJI#9,読,言,,,ComponentKanji
COMPONENT#341,KANJI#9,読,売,,,ComponentKanji
COMPONENT#337,KANJI#9,読,士,,,ComponentKanji
COMPONENT#164,KANJI#9,読,儿,,,ComponentKanji
COMPONENT#810,KANJI#10,語,言,,,ComponentKanji
COMPONENT#305,KANJI#10,語,吾,,,ComponentKanji
COMPONENT#121,KANJI#10,語,五,,,ComponentKanji
COMPONENT#285,KANJI#10,語,口,,,ComponentKanji
COMPONENT#810,KANJI#11,話,言,,,ComponentKanji
COMPONENT#769,KANJI#11,話,舌,,,ComponentKanji
COMPONENT#245,KANJI#11,話,千,,,ComponentKanji
COMPONENT#285,KANJI#11,話,口,,,ComponentKanji
COMPONENT#686,KANJI#12,見,目,,,ComponentKanji
COMPONENT#164,KANJI#12,見,儿,,,ComponentKanji
COMPONENT#285,KANJI#13,西,口,,,ComponentKanji
COMPONENT#164,KANJI#13,西,儿,,,ComponentKanji
COMPONENT#65,KANJI#13,西,一,,,ComponentKanji
COMPONENT#487,KANJI#14,行,彳,,,ComponentKanji
COMPONENT#118,KANJI#14,行,亍,,,ComponentKanji
COMPONENT#67,KANJI#14,行,丁,,,ComponentKanji
COMPONENT#853,KANJI#15,聞,門,,,ComponentKanji
COMPONENT#750,KANJI#15,聞,耳,,,ComponentKanji
COMPONENT#681,KANJI#16,百,白,,,ComponentKanji
COMPONENT#65,KANJI#16,百,一,,,ComponentKanji
COMPONENT#538,KANJI#17,白,日,,,ComponentKanji
COMPONENT#660,KANJI#18,男,田,,,ComponentKanji
COMPONENT#221,KANJI#18,男,力,,,ComponentKanji
COMPONENT#907,KANJI#19,生,𠂉,,,ComponentKanji
COMPONENT#327,KANJI#19,生,土,,,ComponentKanji
COMPONENT#643,KANJI#19,生,牛,,,ComponentKanji
COMPONENT#177,KANJI#20,父,八,,,ComponentKanji
COMPONENT#98,KANJI#20,父,乂,,,ComponentKanji
COMPONENT#143,KANJI#21,火,人,,,ComponentKanji
COMPONENT#32,KANJI#22,水,フ,,,ComponentKanji
