PK,SK,name,hiragana,level,english,vietnamese,lexical_category,accent_up,accent_down
WORDS,1,猫,ねこ,2,cat,mèo,noun,,1
WORDS,2,犬,いぬ,1,dog,chó,noun,1,
WORDS,3,鳥,とり,2,bird,chim,noun,,0
WORDS,4,魚,さかな,1,fish,cá,noun,,0
WORDS,5,馬,うま,4,horse,ngựa,noun,,1
WORDS,6,書きます,かきます,1,to write,viét,verb5,1,3
WORDS,7,見ます,みます,1,to look,xem,verb1up,1,2
WORDS,8,捨てます,すてます,4,to throw away,bỏ,verb1down,1,3
WORDS,9,一,いち,1,one,một,noun,1,
WORDS,10,二,に,1,two,hai,noun,,
WORDS,11,三,さん,1,three,ba,noun,1,
WORDS,12,四,よん ,2,four,bốn,noun,,1
WORDS,13,五,ご,2,five,năm,noun,,
WORDS,14,六,ろく,2,six,sáu,noun,1,
WORDS,15,七,なな,2,seven,bảy,noun,,1
WORDS,16,八,はち,2,eight,tám,noun,1,
WORDS,17,九,きゅう,2,nine,chín,noun,,1
WORDS,18,十,じゅう,1,ten,mười,noun,,1
WORDS,19,十一,じゅういち,2,eleven,mười một,noun,1,
WORDS,20,十二,じゅうに,2,twelve,mười hai,noun,1,
WORDS,21,十四,じゅうよん,2,fourteen,mười bốn,noun,1,3
WORDS,22,二十,にじゅう,2,twenty,hai mươi,noun,,1
WORDS,23,三十,さんじゅう,2,thirty,ba mươi,noun,,1
WORDS,24,三十一,さんじゅういち,3,thirty-one,ba mươi mốt,noun,,1
WORDS,25,百,ひゃく,1,hundred,trăm,noun,1,
WORDS,26,銀行員,ぎんこういん,3,banker,chủ ngân hàng,noun,1,3
WORDS,27,会社員,かいしゃいん,3,company employee,nhân viên công ty,noun,1,3
WORDS,28,医者,いしゃ,3,doctor,bác sĩ,noun,1,
WORDS,29,先生,せんせい,1,teacher,giáo viên,noun,1,3
WORDS,30,エンジニア,エンジニア,4,engineer,kỹ sư,noun,1,3
WORDS,31,店員,てんいん,3,clerk,nhân viên văn phòng,noun,1,
WORDS,32,歌手,かしゅ,3,singer,ca sĩ,noun,,1
WORDS,33,警察官,けいさつかん,3,police officer,cảnh sát,noun,1,3
WORDS,34,学生,がくせい,1,student,học sinh,noun,1,
WORDS,35,主婦,しゅふ,3,housewife,bà nội trợ,noun,,1
WORDS,36,国,くに,3,country,quốc gia,noun,1,
WORDS,37,日本,にほん,1,japan,nhật bản,noun,1,2
WORDS,38,韓国,かんこく,3,south korea,hàn quốc,noun,,1
WORDS,39,中国,ちゅうごく,2,china,trung quốc,noun,,1
WORDS,40,フィリピン,フィリピン,3,philippines,philippin,noun,,1
WORDS,41,アメリカ,アメリカ,2,america,nước mỹ,noun,1,
WORDS,42,ドイツ,ドイツ,3,germany,đức,noun,,1
WORDS,43,イギリス,イギリス,2,england,anh quốc,noun,1,
WORDS,44,日本語,にほんご,1,japanese,nhật bản,noun,1,
WORDS,45,韓国語,かんこくご,3,korean,hàn quốc,noun,1,
WORDS,46,中国語,ちゅうごくご,3,chinese,tiếng trung quốc,noun,1,
WORDS,47,英語,えいご,1,english,tiếng anh,noun,1,
WORDS,48,銀行,ぎんこう,2,bank,ngân hàng,noun,1,
WORDS,49,郵便局,ゆうびんきょく,2,post office,bưu điện,noun,1,3
WORDS,50,薬屋,くすりや,3,pharmacy,hiệu thuốc,noun,1,
WORDS,51,病院,びょういん,1,hospital,bệnh viện,noun,1,
WORDS,52,会社,かいしゃ,1,company,công ty,noun,1,
WORDS,53,スーパー,スーパー,2,supermarket,siêu thị,noun,,1
WORDS,54,カフェ,カフェ,3,cafe,quán cà phê,noun,,1
WORDS,55,レストラン,レストラン,2,restaurant,nhà hàng,noun,,1
