PK,SK,kanji_char,component_char,,,
COMPONENT#127,KANJI#256,高,亠,,,
COMPONENT#285,KANJI#256,高,口,,,
COMPONENT#188,KANJI#256,高,冂,,,
COMPONENT#909,KANJI#1562,食,𠆢,,,
COMPONENT#776,KANJI#1562,食,良,,,
COMPONENT#775,KANJI#1562,食,艮,,,
COMPONENT#865,KANJI#2137,電,雨,,,
COMPONENT#538,KANJI#2137,電,日,,,
COMPONENT#108,KANJI#2137,電,乚,,,
COMPONENT#188,KANJI#2137,電,冂,,,
COMPONENT#92,KANJI#92,雨,丶,,,
COMPONENT#188,KANJI#92,雨,冂,,,
COMPONENT#3,KANJI#92,雨,┬,,,
COMPONENT#853,KANJI#999,間,門,,,
COMPONENT#538,KANJI#999,間,日,,,
COMPONENT#909,KANJI#1427,金,𠆢,,,
COMPONENT#327,KANJI#1427,金,土,,,
COMPONENT#93,KANJI#1427,金,丷,,,
COMPONENT#663,KANJI#1194,車,申,,,
COMPONENT#538,KANJI#1194,車,日,,,
COMPONENT#117,KANJI#1194,車,二,,,
COMPONENT#86,KANJI#1194,車,丨,,,
COMPONENT#810,KANJI#1040,読,言,,,
COMPONENT#341,KANJI#1040,読,売,,,
COMPONENT#337,KANJI#1040,読,士,,,
COMPONENT#164,KANJI#1040,読,儿,,,
COMPONENT#810,KANJI#334,語,言,,,
COMPONENT#305,KANJI#334,語,吾,,,
COMPONENT#121,KANJI#334,語,五,,,
COMPONENT#285,KANJI#334,語,口,,,
COMPONENT#810,KANJI#572,話,言,,,
COMPONENT#769,KANJI#572,話,舌,,,
COMPONENT#245,KANJI#572,話,千,,,
COMPONENT#285,KANJI#572,話,口,,,
COMPONENT#686,KANJI#1411,見,目,,,
COMPONENT#164,KANJI#1411,見,儿,,,
COMPONENT#285,KANJI#882,西,口,,,
COMPONENT#164,KANJI#882,西,儿,,,
COMPONENT#65,KANJI#882,西,一,,,
COMPONENT#487,KANJI#428,行,彳,,,
COMPONENT#118,KANJI#428,行,亍,,,
COMPONENT#67,KANJI#428,行,丁,,,
COMPONENT#853,KANJI#403,聞,門,,,
COMPONENT#750,KANJI#403,聞,耳,,,
COMPONENT#681,KANJI#363,百,白,,,
COMPONENT#65,KANJI#363,百,一,,,
COMPONENT#538,KANJI#1896,白,日,,,
COMPONENT#660,KANJI#986,男,田,,,
COMPONENT#221,KANJI#986,男,力,,,
COMPONENT#907,KANJI#424,生,𠂉,,,
COMPONENT#327,KANJI#424,生,土,,,
COMPONENT#643,KANJI#424,生,牛,,,
COMPONENT#177,KANJI#1267,父,八,,,
COMPONENT#98,KANJI#1267,父,乂,,,
COMPONENT#143,KANJI#19,火,人,,,
COMPONENT#32,KANJI#1207,水,フ,,,
COMPONENT#113,KANJI#1207,水,亅,,,
COMPONENT#614,KANJI#1406,気,气,,,
COMPONENT#43,KANJI#1406,気,㐅,,,
COMPONENT#606,KANJI#1829,毎,毋,,,
COMPONENT#907,KANJI#1829,毎,𠂉,,,
COMPONENT#92,KANJI#2164,母,丶,,,
COMPONENT#908,KANJI#2164,母,𠃌,,,
COMPONENT#572,KANJI#1880,校,木,,,
COMPONENT#132,KANJI#1880,校,交,,,
COMPONENT#127,KANJI#1880,校,亠,,,
COMPONENT#640,KANJI#1880,校,父,,,
COMPONENT#538,KANJI#929,東,日,,,
COMPONENT#572,KANJI#929,東,木,,,
COMPONENT#663,KANJI#929,東,申,,,
COMPONENT#573,KANJI#958,来,未,,,
COMPONENT#572,KANJI#958,来,木,,,
COMPONENT#93,KANJI#958,来,丷,,,
COMPONENT#572,KANJI#54,本,木,,,
COMPONENT#242,KANJI#54,本,十,,,
COMPONENT#242,KANJI#326,木,十,,,
COMPONENT#117,KANJI#1855,月,二,,,
COMPONENT#753,KANJI#1253,書,肀,,,
COMPONENT#117,KANJI#1253,書,二,,,
COMPONENT#538,KANJI#1253,書,日,,,
COMPONENT#538,KANJI#1744,時,日,,,
COMPONENT#397,KANJI#1744,時,寺,,,
COMPONENT#327,KANJI#1744,時,土,,,
COMPONENT#396,KANJI#1744,時,寸,,,
COMPONENT#285,KANJI#589,日,口,,,
COMPONENT#65,KANJI#589,日,一,,,
COMPONENT#487,KANJI#2003,後,彳,,,
COMPONENT#459,KANJI#2003,後,幺,,,
COMPONENT#343,KANJI#2003,後,夂,,,
COMPONENT#249,KANJI#1782,年,午,,,
COMPONENT#1,KANJI#1782,年,┌,,,
COMPONENT#907,KANJI#1782,年,𠂉,,,
COMPONENT#27,KANJI#635,左,ナ,,,
COMPONENT#434,KANJI#635,左,工,,,
COMPONENT#30,KANJI#544,川,ノ,,,
COMPONENT#86,KANJI#544,川,丨,,,
COMPONENT#208,KANJI#1618,山,凵,,,
COMPONENT#86,KANJI#1618,山,丨,,,
COMPONENT#177,KANJI#1629,小,八,,,
COMPONENT#113,KANJI#1629,小,亅,,,
COMPONENT#373,KANJI#416,学,子,,,
COMPONENT#11,KANJI#416,学,⺍,,,
COMPONENT#199,KANJI#416,学,冖,,,
COMPONENT#114,KANJI#209,子,了,,,
COMPONENT#65,KANJI#209,子,一,,,
COMPONENT#17,KANJI#349,女,く,,,
COMPONENT#30,KANJI#349,女,ノ,,,
COMPONENT#65,KANJI#349,女,一,,,
COMPONENT#352,KANJI#2179,天,大,,,
COMPONENT#143,KANJI#2179,天,人,,,
COMPONENT#65,KANJI#2179,天,一,,,
COMPONENT#143,KANJI#308,大,人,,,
COMPONENT#65,KANJI#308,大,一,,,
COMPONENT#349,KANJI#695,外,夕,,,
COMPONENT#257,KANJI#695,外,卜,,,
COMPONENT#242,KANJI#34,土,十,,,
COMPONENT#285,KANJI#1226,国,口,,,
COMPONENT#649,KANJI#1226,国,玉,,,
COMPONENT#650,KANJI#1226,国,王,,,
COMPONENT#285,KANJI#1114,四,口,,,
COMPONENT#164,KANJI#1114,四,儿,,,
COMPONENT#349,KANJI#239,名,夕,,,
COMPONENT#285,KANJI#239,名,口,,,
COMPONENT#27,KANJI#1945,右,ナ,,,
COMPONENT#285,KANJI#1945,右,口,,,
COMPONENT#275,KANJI#663,友,又,,,
COMPONENT#27,KANJI#663,友,ナ,,,
COMPONENT#454,KANJI#1980,南,干,,,
COMPONENT#188,KANJI#1980,南,冂,,,
COMPONENT#242,KANJI#1980,南,十,,,
COMPONENT#93,KANJI#1980,南,丷,,,
COMPONENT#242,KANJI#1857,半,十,,,
COMPONENT#117,KANJI#1857,半,二,,,
COMPONENT#93,KANJI#1857,半,丷,,,
COMPONENT#907,KANJI#205,午,𠂉,,,
COMPONENT#242,KANJI#205,午,十,,,
COMPONENT#454,KANJI#205,午,干,,,
COMPONENT#242,KANJI#1030,千,十,,,
COMPONENT#65,KANJI#1671,十,一,,,
COMPONENT#86,KANJI#1671,十,丨,,,
COMPONENT#237,KANJI#1269,北,匕,,,
COMPONENT#86,KANJI#1269,北,丨,,,
COMPONENT#9,KANJI#1533,前,⺉,,,
COMPONENT#567,KANJI#1533,前,月,,,
COMPONENT#65,KANJI#1533,前,一,,,
COMPONENT#93,KANJI#1533,前,丷,,,
COMPONENT#177,KANJI#2142,分,八,,,
COMPONENT#211,KANJI#2142,分,刀,,,
COMPONENT#426,KANJI#2174,出,山,,,
COMPONENT#208,KANJI#2174,出,凵,,,
COMPONENT#188,KANJI#438,円,冂,,,
COMPONENT#4,KANJI#438,円,┴,,,
COMPONENT#177,KANJI#584,六,八,,,
COMPONENT#127,KANJI#584,六,亠,,,
COMPONENT#30,KANJI#1589,八,ノ,,,
COMPONENT#30,KANJI#100,入,ノ,,,
COMPONENT#907,KANJI#1242,先,𠂉,,,
COMPONENT#117,KANJI#1242,先,二,,,
COMPONENT#327,KANJI#1242,先,土,,,
COMPONENT#164,KANJI#1242,先,儿,,,
COMPONENT#144,KANJI#1436,何,亻,,,
COMPONENT#292,KANJI#1436,何,可,,,
COMPONENT#285,KANJI#1436,何,口,,,
COMPONENT#67,KANJI#1436,何,丁,,,
COMPONENT#144,KANJI#464,休,亻,,,
COMPONENT#572,KANJI#464,休,木,,,
COMPONENT#909,KANJI#275,今,𠆢,,,
COMPONENT#40,KANJI#275,今,ラ,,,
COMPONENT#32,KANJI#275,今,フ,,,
COMPONENT#30,KANJI#1635,人,ノ,,,
COMPONENT#28,KANJI#2186,五,ニ,,,
COMPONENT#1,KANJI#2186,五,┌,,,
COMPONENT#28,KANJI#1789,二,ニ,,,
COMPONENT#107,KANJI#1033,九,乙,,,
COMPONENT#30,KANJI#1033,九,ノ,,,
