PK,SK,kanji_char,component_char,,,
KANJI#高,COMPONENT#亠,高,亠,,,
KANJI#高,COMPONENT#口,高,口,,,
KANJI#高,COMPONENT#冂,高,冂,,,
KANJI#食,COMPONENT#𠆢,食,𠆢,,,
KANJI#食,COMPONENT#良,食,良,,,
KANJI#食,COMPONENT#艮,食,艮,,,
KANJI#電,COMPONENT#雨,電,雨,,,
KANJI#電,COMPONENT#日,電,日,,,
KANJI#電,COMPONENT#乚,電,乚,,,
KANJI#電,COMPONENT#冂,電,冂,,,
KANJI#雨,COMPONENT#丶,雨,丶,,,
KANJI#雨,COMPONENT#冂,雨,冂,,,
KANJI#雨,COMPONENT#┬,雨,┬,,,
KANJI#間,COMPONENT#門,間,門,,,
KANJI#間,COMPONENT#日,間,日,,,
KANJI#金,COMPONENT#𠆢,金,𠆢,,,
KANJI#金,COMPONENT#土,金,土,,,
KANJI#金,COMPONENT#丷,金,丷,,,
KANJI#車,COMPONENT#申,車,申,,,
KANJI#車,COMPONENT#日,車,日,,,
KANJI#車,COMPONENT#二,車,二,,,
KANJI#車,COMPONENT#丨,車,丨,,,
KANJI#読,COMPONENT#言,読,言,,,
KANJI#読,COMPONENT#売,読,売,,,
KANJI#読,COMPONENT#士,読,士,,,
KANJI#読,COMPONENT#儿,読,儿,,,
KANJI#語,COMPONENT#言,語,言,,,
KANJI#語,COMPONENT#吾,語,吾,,,
KANJI#語,COMPONENT#五,語,五,,,
KANJI#語,COMPONENT#口,語,口,,,
KANJI#話,COMPONENT#言,話,言,,,
KANJI#話,COMPONENT#舌,話,舌,,,
KANJI#話,COMPONENT#千,話,千,,,
KANJI#話,COMPONENT#口,話,口,,,
KANJI#見,COMPONENT#目,見,目,,,
KANJI#見,COMPONENT#儿,見,儿,,,
KANJI#西,COMPONENT#口,西,口,,,
KANJI#西,COMPONENT#儿,西,儿,,,
KANJI#西,COMPONENT#一,西,一,,,
KANJI#行,COMPONENT#彳,行,彳,,,
KANJI#行,COMPONENT#亍,行,亍,,,
KANJI#行,COMPONENT#丁,行,丁,,,
KANJI#聞,COMPONENT#門,聞,門,,,
KANJI#聞,COMPONENT#耳,聞,耳,,,
KANJI#百,COMPONENT#白,百,白,,,
KANJI#百,COMPONENT#一,百,一,,,
KANJI#白,COMPONENT#日,白,日,,,
KANJI#男,COMPONENT#田,男,田,,,
KANJI#男,COMPONENT#力,男,力,,,
KANJI#生,COMPONENT#𠂉,生,𠂉,,,
KANJI#生,COMPONENT#土,生,土,,,
KANJI#生,COMPONENT#牛,生,牛,,,
KANJI#父,COMPONENT#八,父,八,,,
KANJI#父,COMPONENT#乂,父,乂,,,
KANJI#火,COMPONENT#人,火,人,,,
KANJI#水,COMPONENT#フ,水,フ,,,
KANJI#水,COMPONENT#亅,水,亅,,,
KANJI#気,COMPONENT#气,気,气,,,
KANJI#気,COMPONENT#㐅,気,㐅,,,
KANJI#毎,COMPONENT#毋,毎,毋,,,
KANJI#毎,COMPONENT#𠂉,毎,𠂉,,,
KANJI#母,COMPONENT#丶,母,丶,,,
KANJI#母,COMPONENT#𠃌,母,𠃌,,,
KANJI#校,COMPONENT#木,校,木,,,
KANJI#校,COMPONENT#交,校,交,,,
KANJI#校,COMPONENT#亠,校,亠,,,
KANJI#校,COMPONENT#父,校,父,,,
KANJI#東,COMPONENT#日,東,日,,,
KANJI#東,COMPONENT#木,東,木,,,
KANJI#東,COMPONENT#申,東,申,,,
KANJI#来,COMPONENT#未,来,未,,,
KANJI#来,COMPONENT#木,来,木,,,
KANJI#来,COMPONENT#丷,来,丷,,,
KANJI#本,COMPONENT#木,本,木,,,
KANJI#本,COMPONENT#十,本,十,,,
KANJI#木,COMPONENT#十,木,十,,,
KANJI#月,COMPONENT#二,月,二,,,
KANJI#書,COMPONENT#肀,書,肀,,,
KANJI#書,COMPONENT#二,書,二,,,
KANJI#書,COMPONENT#日,書,日,,,
KANJI#時,COMPONENT#日,時,日,,,
KANJI#時,COMPONENT#寺,時,寺,,,
KANJI#時,COMPONENT#土,時,土,,,
KANJI#時,COMPONENT#寸,時,寸,,,
KANJI#日,COMPONENT#口,日,口,,,
KANJI#日,COMPONENT#一,日,一,,,
KANJI#後,COMPONENT#彳,後,彳,,,
KANJI#後,COMPONENT#幺,後,幺,,,
KANJI#後,COMPONENT#夂,後,夂,,,
KANJI#年,COMPONENT#午,年,午,,,
KANJI#年,COMPONENT#┌,年,┌,,,
