PK,SK,kanji_char,component_char,,,EntityType
KANJI#1,COMPONENT#127,高,亠,,,KanjiComponent
KANJI#1,COMPONENT#285,高,口,,,KanjiComponent
KANJI#1,COMPONENT#188,高,冂,,,KanjiComponent
KANJI#2,COMPONENT#909,食,𠆢,,,KanjiComponent
KANJI#2,COMPONENT#776,食,良,,,KanjiComponent
KANJI#2,COMPONENT#775,食,艮,,,KanjiComponent
KANJI#3,COMPONENT#865,電,雨,,,KanjiComponent
KANJI#3,COMPONENT#538,電,日,,,KanjiComponent
KANJI#3,COMPONENT#108,電,乚,,,KanjiComponent
KANJI#3,COMPONENT#188,電,冂,,,KanjiComponent
KANJI#4,COMPONENT#92,雨,丶,,,KanjiComponent
KANJI#4,COMPONENT#188,雨,冂,,,KanjiComponent
KANJI#4,COMPONENT#3,雨,┬,,,KanjiComponent
KANJI#5,COMPONENT#853,間,門,,,KanjiComponent
KANJI#5,COMPONENT#538,間,日,,,KanjiComponent
KANJI#7,COMPONENT#909,金,𠆢,,,KanjiComponent
KANJI#7,COMPONENT#327,金,土,,,KanjiComponent
KANJI#7,COMPONENT#93,金,丷,,,KanjiComponent
KANJI#8,COMPONENT#663,車,申,,,KanjiComponent
KANJI#8,COMPONENT#538,車,日,,,KanjiComponent
KANJI#8,COMPONENT#117,車,二,,,KanjiComponent
KANJI#8,COMPONENT#86,車,丨,,,KanjiComponent
KANJI#9,COMPONENT#810,読,言,,,KanjiComponent
KANJI#9,COMPONENT#341,読,売,,,KanjiComponent
KANJI#9,COMPONENT#337,読,士,,,KanjiComponent
KANJI#9,COMPONENT#164,読,儿,,,KanjiComponent
KANJI#10,COMPONENT#810,語,言,,,KanjiComponent
KANJI#10,COMPONENT#305,語,吾,,,KanjiComponent
KANJI#10,COMPONENT#121,語,五,,,KanjiComponent
KANJI#10,COMPONENT#285,語,口,,,KanjiComponent
KANJI#11,COMPONENT#810,話,言,,,KanjiComponent
KANJI#11,COMPONENT#769,話,舌,,,KanjiComponent
KANJI#11,COMPONENT#245,話,千,,,KanjiComponent
KANJI#11,COMPONENT#285,話,口,,,KanjiComponent
KANJI#12,COMPONENT#686,見,目,,,KanjiComponent
KANJI#12,COMPONENT#164,見,儿,,,KanjiComponent
KANJI#13,COMPONENT#285,西,口,,,KanjiComponent
KANJI#13,COMPONENT#164,西,儿,,,KanjiComponent
KANJI#13,COMPONENT#65,西,一,,,KanjiComponent
KANJI#14,COMPONENT#487,行,彳,,,KanjiComponent
KANJI#14,COMPONENT#118,行,亍,,,KanjiComponent
KANJI#14,COMPONENT#67,行,丁,,,KanjiComponent
KANJI#15,COMPONENT#853,聞,門,,,KanjiComponent
KANJI#15,COMPONENT#750,聞,耳,,,KanjiComponent
KANJI#16,COMPONENT#681,百,白,,,KanjiComponent
KANJI#16,COMPONENT#65,百,一,,,KanjiComponent
KANJI#17,COMPONENT#538,白,日,,,KanjiComponent
KANJI#18,COMPONENT#660,男,田,,,KanjiComponent
KANJI#18,COMPONENT#221,男,力,,,KanjiComponent
KANJI#19,COMPONENT#907,生,𠂉,,,KanjiComponent
KANJI#19,COMPONENT#327,生,土,,,KanjiComponent
KANJI#19,COMPONENT#643,生,牛,,,KanjiComponent
KANJI#20,COMPONENT#177,父,八,,,KanjiComponent
KANJI#20,COMPONENT#98,父,乂,,,KanjiComponent
KANJI#21,COMPONENT#143,火,人,,,KanjiComponent
KANJI#22,COMPONENT#32,水,フ,,,KanjiComponent
KANJI#22,COMPONENT#113,水,亅,,,KanjiComponent
KANJI#23,COMPONENT#614,気,气,,,KanjiComponent
KANJI#23,COMPONENT#43,気,㐅,,,KanjiComponent
KANJI#24,COMPONENT#606,毎,毋,,,KanjiComponent
KANJI#24,COMPONENT#907,毎,𠂉,,,KanjiComponent
KANJI#25,COMPONENT#92,母,丶,,,KanjiComponent
KANJI#25,COMPONENT#908,母,𠃌,,,KanjiComponent
KANJI#26,COMPONENT#572,校,木,,,KanjiComponent
KANJI#26,COMPONENT#132,校,交,,,KanjiComponent
KANJI#26,COMPONENT#127,校,亠,,,KanjiComponent
KANJI#26,COMPONENT#640,校,父,,,KanjiComponent
KANJI#27,COMPONENT#538,東,日,,,KanjiComponent
KANJI#27,COMPONENT#572,東,木,,,KanjiComponent
KANJI#27,COMPONENT#663,東,申,,,KanjiComponent
KANJI#28,COMPONENT#573,来,未,,,KanjiComponent
KANJI#28,COMPONENT#572,来,木,,,KanjiComponent
KANJI#28,COMPONENT#93,来,丷,,,KanjiComponent
KANJI#29,COMPONENT#572,本,木,,,KanjiComponent
KANJI#29,COMPONENT#242,本,十,,,KanjiComponent
KANJI#30,COMPONENT#242,木,十,,,KanjiComponent
KANJI#31,COMPONENT#117,月,二,,,KanjiComponent
KANJI#32,COMPONENT#753,書,肀,,,KanjiComponent
KANJI#32,COMPONENT#117,書,二,,,KanjiComponent
KANJI#32,COMPONENT#538,書,日,,,KanjiComponent
KANJI#33,COMPONENT#538,時,日,,,KanjiComponent
KANJI#33,COMPONENT#397,時,寺,,,KanjiComponent
KANJI#33,COMPONENT#327,時,土,,,KanjiComponent
KANJI#33,COMPONENT#396,時,寸,,,KanjiComponent
KANJI#34,COMPONENT#285,日,口,,,KanjiComponent
KANJI#34,COMPONENT#65,日,一,,,KanjiComponent
KANJI#35,COMPONENT#487,後,彳,,,KanjiComponent
KANJI#35,COMPONENT#459,後,幺,,,KanjiComponent
KANJI#35,COMPONENT#343,後,夂,,,KanjiComponent
KANJI#36,COMPONENT#249,年,午,,,KanjiComponent
KANJI#36,COMPONENT#1,年,┌,,,KanjiComponent
KANJI#36,COMPONENT#907,年,𠂉,,,KanjiComponent
KANJI#37,COMPONENT#27,左,ナ,,,KanjiComponent
