PK,SK,kanji_char,component_char,,,
COMPONENT#127,KANJI#1,高,亠,,,
COMPONENT#285,KANJI#1,高,口,,,
COMPONENT#188,KANJI#1,高,冂,,,
COMPONENT#909,KANJI#2,食,𠆢,,,
COMPONENT#776,KANJI#2,食,良,,,
COMPONENT#775,KANJI#2,食,艮,,,
COMPONENT#865,KANJI#3,電,雨,,,
COMPONENT#538,KANJI#3,電,日,,,
COMPONENT#108,KANJI#3,電,乚,,,
COMPONENT#188,KANJI#3,電,冂,,,
COMPONENT#92,KANJI#4,雨,丶,,,
COMPONENT#188,KANJI#4,雨,冂,,,
COMPONENT#3,KANJI#4,雨,┬,,,
COMPONENT#853,KANJI#5,間,門,,,
COMPONENT#538,KANJI#5,間,日,,,
COMPONENT#909,KANJI#7,金,𠆢,,,
COMPONENT#327,KANJI#7,金,土,,,
COMPONENT#93,KANJI#7,金,丷,,,
COMPONENT#663,KANJI#8,車,申,,,
COMPONENT#538,KANJI#8,車,日,,,
COMPONENT#117,KANJI#8,車,二,,,
COMPONENT#86,KANJI#8,車,丨,,,
COMPONENT#810,KANJI#9,読,言,,,
COMPONENT#341,KANJI#9,読,売,,,
COMPONENT#337,KANJI#9,読,士,,,
COMPONENT#164,KANJI#9,読,儿,,,
COMPONENT#810,KANJI#10,語,言,,,
COMPONENT#305,KANJI#10,語,吾,,,
COMPONENT#121,KANJI#10,語,五,,,
COMPONENT#285,KANJI#10,語,口,,,
COMPONENT#810,KANJI#11,話,言,,,
COMPONENT#769,KANJI#11,話,舌,,,
COMPONENT#245,KANJI#11,話,千,,,
COMPONENT#285,KANJI#11,話,口,,,
COMPONENT#686,KANJI#12,見,目,,,
COMPONENT#164,KANJI#12,見,儿,,,
COMPONENT#285,KANJI#13,西,口,,,
COMPONENT#164,KANJI#13,西,儿,,,
COMPONENT#65,KANJI#13,西,一,,,
COMPONENT#487,KANJI#14,行,彳,,,
COMPONENT#118,KANJI#14,行,亍,,,
COMPONENT#67,KANJI#14,行,丁,,,
COMPONENT#853,KANJI#15,聞,門,,,
COMPONENT#750,KANJI#15,聞,耳,,,
COMPONENT#681,KANJI#16,百,白,,,
COMPONENT#65,KANJI#16,百,一,,,
COMPONENT#538,KANJI#17,白,日,,,
COMPONENT#660,KANJI#18,男,田,,,
COMPONENT#221,KANJI#18,男,力,,,
COMPONENT#907,KANJI#19,生,𠂉,,,
COMPONENT#327,KANJI#19,生,土,,,
COMPONENT#643,KANJI#19,生,牛,,,
COMPONENT#177,KANJI#20,父,八,,,
COMPONENT#98,KANJI#20,父,乂,,,
COMPONENT#143,KANJI#21,火,人,,,
COMPONENT#32,KANJI#22,水,フ,,,
COMPONENT#113,KANJI#22,水,亅,,,
COMPONENT#614,KANJI#23,気,气,,,
COMPONENT#43,KANJI#23,気,㐅,,,
COMPONENT#606,KANJI#24,毎,毋,,,
COMPONENT#907,KANJI#24,毎,𠂉,,,
COMPONENT#92,KANJI#25,母,丶,,,
COMPONENT#908,KANJI#25,母,𠃌,,,
COMPONENT#572,KANJI#26,校,木,,,
COMPONENT#132,KANJI#26,校,交,,,
COMPONENT#127,KANJI#26,校,亠,,,
COMPONENT#640,KANJI#26,校,父,,,
COMPONENT#538,KANJI#27,東,日,,,
COMPONENT#572,KANJI#27,東,木,,,
