PK,SK,character,name,en,vi,
COMPONENT,1,┌,,,,
COMPONENT,2,┣,,,,
COMPONENT,3,┬,,,,
COMPONENT,4,┴,,,,
COMPONENT,5,⺀,,,,
COMPONENT,6,⺁,,,,
COMPONENT,7,⺄,,,,
COMPONENT,8,⺆,,,,
COMPONENT,9,⺉,,,,
COMPONENT,10,⺌,,,,
COMPONENT,11,⺍,,,,
COMPONENT,12,⺍冖,,,,
COMPONENT,13,⺤,,,,
COMPONENT,14,⺧,,,,
COMPONENT,15,⺷,,,,
COMPONENT,16,⺽,,,,
COMPONENT,17,く,,,,
COMPONENT,18,イ,,,,
COMPONENT,19,エ,,,,
COMPONENT,20,ク,,,,
COMPONENT,21,サ,,,,
COMPONENT,22,タ,,,,
COMPONENT,23,ツ,,,,
COMPONENT,24,ツ厂,,,,
COMPONENT,25,ツ寸,,,,
COMPONENT,26,ト,,,,
COMPONENT,27,ナ,,,,
COMPONENT,28,ニ,,,,
COMPONENT,29,ヌ,,,,
COMPONENT,30,ノ,,,,
COMPONENT,31,ヒ,,,,
COMPONENT,32,フ,,,,
COMPONENT,33,ホ,,,,
COMPONENT,34,マ,,,,
COMPONENT,35,ム,,,,
COMPONENT,36,メ,,,,
COMPONENT,37,ユ,,,,
COMPONENT,38,ヨ,,,,
COMPONENT,39,ヨ冖又,,,,
COMPONENT,40,ラ,,,,
COMPONENT,41,リ,,,,
COMPONENT,42,㐄,,,,
COMPONENT,43,㐅,,,,
COMPONENT,44,㐫,,,,
COMPONENT,45,㐬,,,,
COMPONENT,46,㐮,,,,
COMPONENT,47,㐱,,,,
COMPONENT,48,㑒,,,,
COMPONENT,49,㓞,,,,
COMPONENT,50,㔾,,,,
COMPONENT,51,㕣,,,,
COMPONENT,52,㚅,,,,
COMPONENT,53,㚘,,,,
COMPONENT,54,㞋,,,,
COMPONENT,55,㠯,,,,
COMPONENT,56,㣺,,,,
COMPONENT,57,㥑,,,,
COMPONENT,58,㥯,,,,
COMPONENT,59,㦮,,,,
