PK,SK,character,name,en,vi,EntityType
COMPONENT,1,┌,,,,Component
COMPONENT,2,┣,,,,Component
COMPONENT,3,┬,,,,Component
COMPONENT,4,┴,,,,Component
COMPONENT,5,⺀,,,,Component
COMPONENT,6,⺁,,,,Component
COMPONENT,7,⺄,,,,Component
COMPONENT,8,⺆,,,,Component
COMPONENT,9,⺉,,,,Component
COMPONENT,10,⺌,,,,Component
COMPONENT,11,⺍,,,,Component
COMPONENT,12,⺍冖,,,,Component
COMPONENT,13,⺤,,,,Component
COMPONENT,14,⺧,,,,Component
COMPONENT,15,⺷,,,,Component
COMPONENT,16,⺽,,,,Component
COMPONENT,17,く,,,,Component
COMPONENT,18,イ,,,,Component
COMPONENT,19,エ,,,,Component
COMPONENT,20,ク,,,,Component
COMPONENT,21,サ,,,,Component
COMPONENT,22,タ,,,,Component
COMPONENT,23,ツ,,,,Component
COMPONENT,24,ツ厂,,,,Component
COMPONENT,25,ツ寸,,,,Component
COMPONENT,26,ト,,,,Component
COMPONENT,27,ナ,,,,Component
COMPONENT,28,ニ,,,,Component
COMPONENT,29,ヌ,,,,Component
COMPONENT,30,ノ,,,,Component
COMPONENT,31,ヒ,,,,Component
COMPONENT,32,フ,,,,Component
COMPONENT,33,ホ,,,,Component
COMPONENT,34,マ,,,,Component
COMPONENT,35,ム,,,,Component
COMPONENT,36,メ,,,,Component
COMPONENT,37,ユ,,,,Component
COMPONENT,38,ヨ,,,,Component
COMPONENT,39,ヨ冖又,,,,Component
COMPONENT,40,ラ,,,,Component
COMPONENT,41,リ,,,,Component
COMPONENT,42,㐄,,,,Component
COMPONENT,43,㐅,,,,Component
COMPONENT,44,㐫,,,,Component
COMPONENT,45,㐬,,,,Component
COMPONENT,46,㐮,,,,Component
COMPONENT,47,㐱,,,,Component
COMPONENT,48,㑒,,,,Component
COMPONENT,49,㓞,,,,Component
COMPONENT,50,㔾,,,,Component
COMPONENT,51,㕣,,,,Component
COMPONENT,52,㚅,,,,Component
COMPONENT,53,㚘,,,,Component
COMPONENT,54,㞋,,,,Component
COMPONENT,55,㠯,,,,Component
COMPONENT,56,㣺,,,,Component
COMPONENT,57,㥑,,,,Component
COMPONENT,58,㥯,,,,Component
COMPONENT,59,㦮,,,,Component
COMPONENT,60,㳟,,,,Component
COMPONENT,61,㸚,,,,Component
COMPONENT,62,䒑,,,,Component
COMPONENT,63,䦨,,,,Component
COMPONENT,64,䩗,,,,Component
COMPONENT,65,一,,,,Component
COMPONENT,66,一ム,,,,Component
COMPONENT,67,丁,,,,Component
COMPONENT,68,丂,,,,Component
COMPONENT,69,七,,,,Component
COMPONENT,70,丆,,,,Component
COMPONENT,71,万,,,,Component
COMPONENT,72,三,,,,Component
COMPONENT,73,三人,,,,Component
COMPONENT,74,上,,,,Component
COMPONENT,75,下,,,,Component
COMPONENT,76,不,,,,Component
COMPONENT,77,且,,,,Component
COMPONENT,78,世,,,,Component
COMPONENT,79,丗,,,,Component
COMPONENT,80,丘,,,,Component
COMPONENT,81,丙,,,,Component
COMPONENT,82,业,,,,Component
COMPONENT,83,丞,,,,Component
COMPONENT,84,両,,,,Component
COMPONENT,85,並,,,,Component
COMPONENT,86,丨,,,,Component
COMPONENT,87,丩,,,,Component
COMPONENT,88,丬,,,,Component
COMPONENT,89,中,,,,Component
COMPONENT,90,丰,,,,Component
COMPONENT,91,串,,,,Component
COMPONENT,92,丶,,,,Component
COMPONENT,93,丷,,,,Component
COMPONENT,94,丸,,,,Component
COMPONENT,95,丹,,,,Component
COMPONENT,96,主,,,,Component
COMPONENT,97,丿丨,,,,Component
COMPONENT,98,乂,,,,Component
COMPONENT,99,乃,,,,Component
COMPONENT,100,久,,,,Component
COMPONENT,101,乇,,,,Component
COMPONENT,102,之,,,,Component
COMPONENT,103,乍,,,,Component
COMPONENT,104,乎,,,,Component
COMPONENT,105,乑,,,,Component
COMPONENT,106,乗,,,,Component
COMPONENT,107,乙,,,,Component
COMPONENT,108,乚,,,,Component
COMPONENT,109,九,,,,Component
COMPONENT,110,乞,,,,Component
COMPONENT,111,也,,,,Component
COMPONENT,112,乡,,,,Component
COMPONENT,113,亅,,,,Component
COMPONENT,114,了,,,,Component
COMPONENT,115,予,,,,Component
COMPONENT,116,争,,,,Component
COMPONENT,117,二,,,,Component
COMPONENT,118,亍,,,,Component
COMPONENT,119,于,,,,Component
COMPONENT,120,云,,,,Component
COMPONENT,121,五,,,,Component
COMPONENT,122,井,,,,Component
COMPONENT,123,亘,,,,Component
COMPONENT,124,亚,,,,Component
COMPONENT,125,亜,,,,Component
COMPONENT,126,亟,,,,Component
COMPONENT,127,亠,,,,Component
COMPONENT,128,亠ム,,,,Component
COMPONENT,129,亠口,,,,Component
COMPONENT,130,亡,,,,Component
COMPONENT,131,亢,,,,Component
COMPONENT,132,交,,,,Component
COMPONENT,133,亥,,,,Component
COMPONENT,134,亦,,,,Component
COMPONENT,135,产,,,,Component
COMPONENT,136,亨,,,,Component
COMPONENT,137,亩,,,,Component
COMPONENT,138,享,,,,Component
COMPONENT,139,京,,,,Component
COMPONENT,140,亭,,,,Component
COMPONENT,141,亲,,,,Component
COMPONENT,142,亶,,,,Component
COMPONENT,143,人,,,,Component
COMPONENT,144,亻,,,,Component
COMPONENT,145,今,,,,Component
COMPONENT,146,介,,,,Component
COMPONENT,147,从,,,,Component
COMPONENT,148,仒,,,,Component
COMPONENT,149,付,,,,Component
COMPONENT,150,代,,,,Component
COMPONENT,151,令,,,,Component
COMPONENT,152,以,,,,Component
COMPONENT,153,任,,,,Component
COMPONENT,154,伐,,,,Component
COMPONENT,155,会,,,,Component
COMPONENT,156,何,,,,Component
COMPONENT,157,余,,,,Component
COMPONENT,158,佰,,,,Component
COMPONENT,159,侌,,,,Component
COMPONENT,160,侖,,,,Component
COMPONENT,161,保,,,,Component
COMPONENT,162,俞,,,,Component
COMPONENT,163,倉,,,,Component
COMPONENT,164,儿,,,,Component
COMPONENT,165,兀,,,,Component
COMPONENT,166,允,,,,Component
COMPONENT,167,元,,,,Component
COMPONENT,168,兄,,,,Component
COMPONENT,169,充,,,,Component
COMPONENT,170,兆,,,,Component
COMPONENT,171,先,,,,Component
COMPONENT,172,光,,,,Component
COMPONENT,173,免,,,,Component
COMPONENT,174,兑,,,,Component
COMPONENT,175,入,,,,Component
COMPONENT,176,全,,,,Component
COMPONENT,177,八,,,,Component
COMPONENT,178,公,,,,Component
COMPONENT,179,六,,,,Component
COMPONENT,180,共,,,,Component
COMPONENT,181,关,,,,Component
COMPONENT,182,兴,,,,Component
COMPONENT,183,兵,,,,Component
COMPONENT,184,其,,,,Component
COMPONENT,185,具,,,,Component
COMPONENT,186,兹,,,,Component
COMPONENT,187,兼,,,,Component
COMPONENT,188,冂,,,,Component
COMPONENT,189,冂儿,,,,Component
COMPONENT,190,内,,,,Component
COMPONENT,191,冉,,,,Component
COMPONENT,192,冊,,,,Component
COMPONENT,193,冋,,,,Component
COMPONENT,194,再,,,,Component
COMPONENT,195,冎,,,,Component
COMPONENT,196,冏,,,,Component
COMPONENT,197,冒,,,,Component
COMPONENT,198,冓,,,,Component
COMPONENT,199,冖,,,,Component
COMPONENT,200,冗,,,,Component
COMPONENT,201,冘,,,,Component
COMPONENT,202,冫,,,,Component
COMPONENT,203,冬,,,,Component
COMPONENT,204,准,,,,Component
COMPONENT,205,几,,,,Component
COMPONENT,206,凡,,,,Component
COMPONENT,207,処,,,,Component
COMPONENT,208,凵,,,,Component
COMPONENT,209,凶,,,,Component
COMPONENT,210,出,,,,Component
COMPONENT,211,刀,,,,Component
COMPONENT,212,刂,,,,Component
COMPONENT,213,刃,,,,Component
COMPONENT,214,分,,,,Component
COMPONENT,215,切,,,,Component
COMPONENT,216,刑,,,,Component
COMPONENT,217,列,,,,Component
COMPONENT,218,利,,,,Component
COMPONENT,219,制,,,,Component
COMPONENT,220,則,,,,Component
COMPONENT,221,力,,,,Component
COMPONENT,222,加,,,,Component
COMPONENT,223,务,,,,Component
COMPONENT,224,劦,,,,Component
COMPONENT,225,勇,,,,Component
COMPONENT,226,動,,,,Component
COMPONENT,227,務,,,,Component
COMPONENT,228,勹,,,,Component
COMPONENT,229,勺,,,,Component
COMPONENT,230,勿,,,,Component
COMPONENT,231,匀,,,,Component
COMPONENT,232,匂,,,,Component
COMPONENT,233,包,,,,Component
COMPONENT,234,匈,,,,Component
COMPONENT,235,匊,,,,Component
COMPONENT,236,匋,,,,Component
COMPONENT,237,匕,,,,Component
COMPONENT,238,化,,,,Component
COMPONENT,239,北,,,,Component
COMPONENT,240,匚,,,,Component
COMPONENT,241,区,,,,Component
COMPONENT,242,十,,,,Component
COMPONENT,243,十艹,,,,Component
COMPONENT,244,卂,,,,Component
COMPONENT,245,千,,,,Component
COMPONENT,246,卄,,,,Component
COMPONENT,247,卆,,,,Component
COMPONENT,248,升,,,,Component
COMPONENT,249,午,,,,Component
COMPONENT,250,卉,,,,Component
COMPONENT,251,半,,,,Component
COMPONENT,252,卑,,,,Component
COMPONENT,253,卒,,,,Component
COMPONENT,254,卓,,,,Component
COMPONENT,255,南,,,,Component
COMPONENT,256,単,,,,Component
COMPONENT,257,卜,,,,Component
COMPONENT,258,占,,,,Component
COMPONENT,259,卦,,,,Component
COMPONENT,260,卩,,,,Component
COMPONENT,261,卬,,,,Component
COMPONENT,262,卯,,,,Component
COMPONENT,263,即,,,,Component
COMPONENT,264,却,,,,Component
COMPONENT,265,卸,,,,Component
COMPONENT,266,厂,,,,Component
COMPONENT,267,厃,,,,Component
COMPONENT,268,厓,,,,Component
COMPONENT,269,原,,,,Component
COMPONENT,270,厳,,,,Component
COMPONENT,271,厶,,,,Component
COMPONENT,272,厷,,,,Component
COMPONENT,273,去,,,,Component
COMPONENT,274,参,,,,Component
COMPONENT,275,又,,,,Component
COMPONENT,276,及,,,,Component
COMPONENT,277,友,,,,Component
COMPONENT,278,双,,,,Component
COMPONENT,279,反,,,,Component
COMPONENT,280,叒,,,,Component
COMPONENT,281,叔,,,,Component
COMPONENT,282,取,,,,Component
COMPONENT,283,受,,,,Component
COMPONENT,284,叚,,,,Component
COMPONENT,285,口,,,,Component
COMPONENT,286,口口,,,,Component
COMPONENT,287,古,,,,Component
COMPONENT,288,句,,,,Component
COMPONENT,289,叧,,,,Component
COMPONENT,290,叩,,,,Component
COMPONENT,291,召,,,,Component
COMPONENT,292,可,,,,Component
COMPONENT,293,台,,,,Component
COMPONENT,294,史,,,,Component
COMPONENT,295,右,,,,Component
COMPONENT,296,司,,,,Component
COMPONENT,297,叹,,,,Component
COMPONENT,298,各,,,,Component
COMPONENT,299,合,,,,Component
COMPONENT,300,吉,,,,Component
COMPONENT,301,吊,,,,Component
COMPONENT,302,同,,,,Component
COMPONENT,303,名,,,,Component
COMPONENT,304,君,,,,Component
COMPONENT,305,吾,,,,Component
COMPONENT,306,呂,,,,Component
COMPONENT,307,呆,,,,Component
COMPONENT,308,呉,,,,Component
COMPONENT,309,告,,,,Component
COMPONENT,310,呑,,,,Component
COMPONENT,311,周,,,,Component
COMPONENT,312,咅,,,,Component
COMPONENT,313,咼,,,,Component
COMPONENT,314,品,,,,Component
COMPONENT,315,員,,,,Component
COMPONENT,316,唐,,,,Component
COMPONENT,317,啇,,,,Component
COMPONENT,318,善,,,,Component
COMPONENT,319,喜,,,,Component
COMPONENT,320,喬,,,,Component
COMPONENT,321,喿,,,,Component
COMPONENT,322,囗,,,,Component
COMPONENT,323,回,,,,Component
COMPONENT,324,因,,,,Component
COMPONENT,325,囷,,,,Component
COMPONENT,326,固,,,,Component
COMPONENT,327,土,,,,Component
COMPONENT,328,圣,,,,Component
COMPONENT,329,圥,,,,Component
COMPONENT,330,圭,,,,Component
COMPONENT,331,坒,,,,Component
COMPONENT,332,坴,,,,Component
COMPONENT,333,垂,,,,Component
COMPONENT,334,垔,,,,Component
COMPONENT,335,執,,,,Component
