PK,SK,word,kanji
KANJI#391,WORD#1,猫,猫
KANJI#149,WORD#2,犬,犬
KANJI#82,WORD#3,鳥,鳥
KANJI#83,WORD#4,魚,魚
KANJI#250,WORD#5,馬,馬
KANJI#32,WORD#6,書きます,書
KANJI#12,WORD#7,見ます,見
KANJI#862,WORD#8,捨てます,捨
KANJI#80,WORD#9,一,一
KANJI#72,WORD#10,二,二
KANJI#77,WORD#11,三,三
KANJI#49,WORD#12,四,四
KANJI#71,WORD#13,五,五
KANJI#63,WORD#14,六,六
KANJI#79,WORD#15,七,七
KANJI#64,WORD#16,八,八
KANJI#73,WORD#17,九,九
KANJI#57,WORD#18,十,十
KANJI#80,WORD#19,十一,一
KANJI#57,WORD#19,十一,十
KANJI#72,WORD#20,十二,二
KANJI#57,WORD#20,十二,十
KANJI#49,WORD#21,十四,四
KANJI#57,WORD#21,十四,十
KANJI#72,WORD#22,二十,二
KANJI#57,WORD#22,二十,十
KANJI#77,WORD#23,三十,三
KANJI#57,WORD#23,三十,十
KANJI#80,WORD#24,三十一,一
KANJI#77,WORD#24,三十一,三
KANJI#57,WORD#24,三十一,十
KANJI#16,WORD#25,百,百
KANJI#14,WORD#26,銀行員,行
KANJI#96,WORD#26,銀行員,銀
KANJI#215,WORD#26,銀行員,員
KANJI#134,WORD#27,会社員,社
KANJI#239,WORD#27,会社員,会
KANJI#215,WORD#27,会社員,員
KANJI#223,WORD#28,医者,医
KANJI#123,WORD#28,医者,者
KANJI#66,WORD#29,先生,先
KANJI#19,WORD#29,先生,生
KANJI#192,WORD#31,店員,店
KANJI#215,WORD#31,店員,員
KANJI#181,WORD#32,歌手,手
KANJI#161,WORD#32,歌手,歌
KANJI#310,WORD#33,警察官,警
KANJI#509,WORD#33,警察官,察
KANJI#520,WORD#33,警察官,官
KANJI#19,WORD#34,学生,生
KANJI#41,WORD#34,学生,学
KANJI#245,WORD#35,主婦,主
KANJI#525,WORD#35,主婦,婦
KANJI#48,WORD#36,国,国
KANJI#34,WORD#37,日本,日
KANJI#29,WORD#37,日本,本
KANJI#48,WORD#38,韓国,国
KANJI#48,WORD#39,中国,国
KANJI#74,WORD#39,中国,中
KANJI#34,WORD#44,日本語,日
KANJI#29,WORD#44,日本語,本
KANJI#10,WORD#44,日本語,語
KANJI#48,WORD#45,韓国語,国
KANJI#10,WORD#45,韓国語,語
KANJI#48,WORD#46,中国語,国
KANJI#74,WORD#46,中国語,中
KANJI#10,WORD#46,中国語,語
KANJI#118,WORD#47,英語,英
KANJI#10,WORD#47,英語,語
KANJI#14,WORD#48,銀行,行
KANJI#96,WORD#48,銀行,銀
KANJI#507,WORD#49,郵便局,局
KANJI#648,WORD#49,郵便局,郵
KANJI#599,WORD#49,郵便局,便
KANJI#196,WORD#50,薬屋,屋
KANJI#328,WORD#50,薬屋,薬
KANJI#142,WORD#51,病院,病
KANJI#94,WORD#51,病院,院
KANJI#134,WORD#52,会社,社
KANJI#239,WORD#52,会社,会
KANJI#86,WORD#57,映画館,館
KANJI#144,WORD#57,映画館,画
KANJI#170,WORD#57,映画館,映
KANJI#196,WORD#58,本屋,屋
KANJI#29,WORD#58,本屋,本
