PK,SK,word,kanji
WORD#1,KANJI#1,猫,猫
WORD#2,KANJI#25,犬,犬
WORD#6,KANJI#3,書きます,書
WORD#7,KANJI#4,見ます,見
WORD#8,KANJI#5,捨てます,捨
WORD#9,KANJI#7,一,一
WORD#10,KANJI#79,二,二
WORD#11,KANJI#40,三,三
WORD#12,KANJI#43,四,四
WORD#13,KANJI#28,五,五
WORD#14,KANJI#102,六,六
WORD#15,KANJI#45,七,七
WORD#16,KANJI#85,八,八
WORD#17,KANJI#21,九,九
WORD#18,KANJI#50,十,十
WORD#19,KANJI#50,十一,十
WORD#19,KANJI#7,十一,一
WORD#20,KANJI#79,十二,二
WORD#20,KANJI#50,十二,十
WORD#21,KANJI#50,十四,十
WORD#21,KANJI#43,十四,四
WORD#22,KANJI#79,二十,二
WORD#22,KANJI#50,二十,十
WORD#23,KANJI#50,三十,十
WORD#23,KANJI#40,三十,三
WORD#24,KANJI#50,三十一,十
WORD#24,KANJI#7,三十一,一
WORD#24,KANJI#40,三十一,三
WORD#25,KANJI#87,百,百
WORD#26,KANJI#34,銀行員,行
WORD#27,KANJI#15,会社員,会
WORD#27,KANJI#46,会社員,社
WORD#29,KANJI#58,先生,生
WORD#29,KANJI#64,先生,先
WORD#31,KANJI#72,店員,店
WORD#32,KANJI#48,歌手,手
WORD#34,KANJI#58,学生,生
WORD#34,KANJI#18,学生,学
WORD#36,KANJI#37,国,国
WORD#37,KANJI#94,日本,本
WORD#37,KANJI#80,日本,日
WORD#38,KANJI#37,韓国,国
WORD#39,KANJI#37,中国,国
WORD#39,KANJI#69,中国,中
WORD#44,KANJI#31,日本語,語
WORD#44,KANJI#94,日本語,本
WORD#44,KANJI#80,日本語,日
WORD#45,KANJI#37,韓国語,国
WORD#45,KANJI#31,韓国語,語
WORD#46,KANJI#31,中国語,語
WORD#46,KANJI#37,中国語,国
WORD#46,KANJI#69,中国語,中
WORD#47,KANJI#31,英語,語
WORD#48,KANJI#34,銀行,行
WORD#52,KANJI#15,会社,会
WORD#52,KANJI#46,会社,社
WORD#58,KANJI#94,本屋,本
WORD#59,KANJI#14,花屋,花
WORD#65,KANJI#35,学校,校
WORD#65,KANJI#18,学校,学
WORD#66,KANJI#67,大学,大
WORD#66,KANJI#18,大学,学
WORD#71,KANJI#67,大使館,大
WORD#73,KANJI#32,北口,口
WORD#73,KANJI#92,北口,北
WORD#74,KANJI#32,南口,口
WORD#74,KANJI#78,南口,南
WORD#75,KANJI#32,東口,口
WORD#75,KANJI#75,東口,東
WORD#76,KANJI#59,西口,西
WORD#76,KANJI#32,西口,口
WORD#83,KANJI#99,友達,友
WORD#84,KANJI#88,父,父
WORD#85,KANJI#88,お父さん,父
WORD#86,KANJI#91,母,母
WORD#87,KANJI#91,お母さん,母
WORD#95,KANJI#42,息子,子
WORD#97,KANJI#68,男,男
WORD#98,KANJI#52,女,女
WORD#100,KANJI#56,ご主人,人
WORD#104,KANJI#42,子供,子
WORD#105,KANJI#88,祖父,父
WORD#107,KANJI#91,祖母,母
WORD#109,KANJI#88,叔父,父
WORD#110,KANJI#91,叔母,母
WORD#118,KANJI#42,帽子,子
WORD#125,KANJI#11,下着,下
WORD#129,KANJI#48,手袋,手
WORD#134,KANJI#11,靴下,下
WORD#137,KANJI#16,海,海
WORD#138,KANJI#63,川,川
WORD#139,KANJI#41,山,山
WORD#141,KANJI#93,木,木
WORD#146,KANJI#14,花,花
WORD#153,KANJI#32,口,口
WORD#155,KANJI#98,目,目
WORD#158,KANJI#55,食べ物,食
WORD#183,KANJI#57,水,水
WORD#195,KANJI#47,車,車
WORD#199,KANJI#47,自転車,車
WORD#200,KANJI#47,電車,車
WORD#200,KANJI#73,電車,電
WORD#201,KANJI#11,地下鉄,下
WORD#202,KANJI#34,飛行機,行
