PK,SK,kanji_char,component_char,,,
COMPONENT#127,KANJI#654,高,亠,,,
COMPONENT#285,KANJI#654,高,口,,,
COMPONENT#188,KANJI#654,高,冂,,,
COMPONENT#909,KANJI#960,食,𠆢,,,
COMPONENT#776,KANJI#960,食,良,,,
COMPONENT#775,KANJI#960,食,艮,,,
COMPONENT#865,KANJI#1948,電,雨,,,
COMPONENT#538,KANJI#1948,電,日,,,
COMPONENT#108,KANJI#1948,電,乚,,,
COMPONENT#188,KANJI#1948,電,冂,,,
COMPONENT#92,KANJI#1856,雨,丶,,,
COMPONENT#188,KANJI#1856,雨,冂,,,
COMPONENT#3,KANJI#1856,雨,┬,,,
COMPONENT#853,KANJI#51,間,門,,,
COMPONENT#538,KANJI#51,間,日,,,
COMPONENT#909,KANJI#1743,金,𠆢,,,
COMPONENT#327,KANJI#1743,金,土,,,
COMPONENT#93,KANJI#1743,金,丷,,,
COMPONENT#663,KANJI#675,車,申,,,
COMPONENT#538,KANJI#675,車,日,,,
COMPONENT#117,KANJI#675,車,二,,,
COMPONENT#86,KANJI#675,車,丨,,,
COMPONENT#810,KANJI#442,読,言,,,
COMPONENT#341,KANJI#442,読,売,,,
COMPONENT#337,KANJI#442,読,士,,,
COMPONENT#164,KANJI#442,読,儿,,,
COMPONENT#810,KANJI#1495,語,言,,,
COMPONENT#305,KANJI#1495,語,吾,,,
COMPONENT#121,KANJI#1495,語,五,,,
COMPONENT#285,KANJI#1495,語,口,,,
COMPONENT#810,KANJI#1199,話,言,,,
COMPONENT#769,KANJI#1199,話,舌,,,
COMPONENT#245,KANJI#1199,話,千,,,
COMPONENT#285,KANJI#1199,話,口,,,
COMPONENT#686,KANJI#761,見,目,,,
COMPONENT#164,KANJI#761,見,儿,,,
COMPONENT#285,KANJI#1207,西,口,,,
COMPONENT#164,KANJI#1207,西,儿,,,
COMPONENT#65,KANJI#1207,西,一,,,
COMPONENT#487,KANJI#1604,行,彳,,,
COMPONENT#118,KANJI#1604,行,亍,,,
COMPONENT#67,KANJI#1604,行,丁,,,
COMPONENT#853,KANJI#1591,聞,門,,,
COMPONENT#750,KANJI#1591,聞,耳,,,
COMPONENT#681,KANJI#1645,百,白,,,
COMPONENT#65,KANJI#1645,百,一,,,
COMPONENT#538,KANJI#662,白,日,,,
COMPONENT#660,KANJI#1435,男,田,,,
COMPONENT#221,KANJI#1435,男,力,,,
COMPONENT#907,KANJI#485,生,𠂉,,,
COMPONENT#327,KANJI#485,生,土,,,
COMPONENT#643,KANJI#485,生,牛,,,
COMPONENT#177,KANJI#517,父,八,,,
COMPONENT#98,KANJI#517,父,乂,,,
COMPONENT#143,KANJI#1499,火,人,,,
COMPONENT#32,KANJI#2191,水,フ,,,
COMPONENT#113,KANJI#2191,水,亅,,,
COMPONENT#614,KANJI#2067,気,气,,,
COMPONENT#43,KANJI#2067,気,㐅,,,
COMPONENT#606,KANJI#210,毎,毋,,,
COMPONENT#907,KANJI#210,毎,𠂉,,,
COMPONENT#92,KANJI#1058,母,丶,,,
COMPONENT#908,KANJI#1058,母,𠃌,,,
COMPONENT#572,KANJI#544,校,木,,,
COMPONENT#132,KANJI#544,校,交,,,
COMPONENT#127,KANJI#544,校,亠,,,
COMPONENT#640,KANJI#544,校,父,,,
COMPONENT#538,KANJI#179,東,日,,,
COMPONENT#572,KANJI#179,東,木,,,
COMPONENT#663,KANJI#179,東,申,,,
COMPONENT#573,KANJI#1650,来,未,,,
COMPONENT#572,KANJI#1650,来,木,,,
COMPONENT#93,KANJI#1650,来,丷,,,
COMPONENT#572,KANJI#380,本,木,,,
COMPONENT#242,KANJI#380,本,十,,,
COMPONENT#242,KANJI#988,木,十,,,
COMPONENT#117,KANJI#1834,月,二,,,
COMPONENT#753,KANJI#586,書,肀,,,
COMPONENT#117,KANJI#586,書,二,,,
COMPONENT#538,KANJI#586,書,日,,,
COMPONENT#538,KANJI#582,時,日,,,
COMPONENT#397,KANJI#582,時,寺,,,
COMPONENT#327,KANJI#582,時,土,,,
COMPONENT#396,KANJI#582,時,寸,,,
COMPONENT#285,KANJI#830,日,口,,,
COMPONENT#65,KANJI#830,日,一,,,
COMPONENT#487,KANJI#418,後,彳,,,
COMPONENT#459,KANJI#418,後,幺,,,
COMPONENT#343,KANJI#418,後,夂,,,
COMPONENT#249,KANJI#1565,年,午,,,
COMPONENT#1,KANJI#1565,年,┌,,,
COMPONENT#907,KANJI#1565,年,𠂉,,,
COMPONENT#27,KANJI#522,左,ナ,,,
COMPONENT#434,KANJI#522,左,工,,,
COMPONENT#30,KANJI#1358,川,ノ,,,
COMPONENT#86,KANJI#1358,川,丨,,,
COMPONENT#208,KANJI#684,山,凵,,,
COMPONENT#86,KANJI#684,山,丨,,,
COMPONENT#177,KANJI#409,小,八,,,
COMPONENT#113,KANJI#409,小,亅,,,
COMPONENT#373,KANJI#1021,学,子,,,
COMPONENT#11,KANJI#1021,学,⺍,,,
