PK,SK,character,name,en,vi,
COMPONENT,71,申,,,,
COMPONENT,72,山,,,,
COMPONENT,73,く,,,,
COMPONENT,74,八,,,,
COMPONENT,75,亅,,,,
COMPONENT,76,┣,,,,
COMPONENT,77,良,,,,
COMPONENT,78,艮,,,,
COMPONENT,79,牛,,,,
COMPONENT,80,⺉,,,,
COMPONENT,81,月,,,,
COMPONENT,82,力,,,,
COMPONENT,83,大,,,,
COMPONENT,84,雨,,,,
COMPONENT,85,乚,,,,
COMPONENT,86,売,,,,
COMPONENT,87,士,,,,
COMPONENT,88,午,,,,
COMPONENT,89,白,,,,
COMPONENT,90,乂,,,,
COMPONENT,91,刀,,,,
COMPONENT,92,耳,,,,
COMPONENT,93,𠃌,,,,
COMPONENT,94,匕,,,,
COMPONENT,95,毋,,,,
COMPONENT,96,又,,,,
COMPONENT,97,未,,,,
COMPONENT,98,舌,,,,
COMPONENT,99,千,,,,
COMPONENT,102,肀,,,,
