PK,SK,kanji_char,component_char,,,,
KANJI#1,COMPONENT#12,猫,,,,,
KANJI#1,COMPONENT#13,猫,,,,,
KANJI#1,COMPONENT#14,猫,,,,,
KANJI#1,COMPONENT#15,猫,,,,,
KANJI#4,COMPONENT#16,見,,,,,
KANJI#4,COMPONENT#17,見,,,,,
KANJI#5,COMPONENT#18,捨,,,,,
KANJI#5,COMPONENT#19,捨,,,,,
KANJI#5,COMPONENT#20,捨,,,,,
KANJI#5,COMPONENT#21,捨,,,,,
KANJI#7,COMPONENT#22,一,,,,,
KANJI#8,COMPONENT#23,右,,,,,
KANJI#8,COMPONENT#24,右,,,,,
KANJI#9,COMPONENT#25,雨,,,,,
KANJI#9,COMPONENT#26,雨,,,,,
KANJI#9,COMPONENT#27,雨,,,,,
KANJI#10,COMPONENT#26,円,,,,,
KANJI#10,COMPONENT#28,円,,,,,
KANJI#11,COMPONENT#22,下,,,,,
KANJI#11,COMPONENT#29,下,,,,,
KANJI#12,COMPONENT#30,火,,,,,
KANJI#13,COMPONENT#31,何,,,,,
KANJI#13,COMPONENT#32,何,,,,,
KANJI#13,COMPONENT#24,何,,,,,
KANJI#13,COMPONENT#33,何,,,,,
KANJI#17,COMPONENT#34,外,,,,,
KANJI#17,COMPONENT#29,外,,,,,
KANJI#18,COMPONENT#35,学,,,,,
KANJI#18,COMPONENT#36,学,,,,,
KANJI#18,COMPONENT#37,学,,,,,
KANJI#19,COMPONENT#38,間,,,,,
KANJI#19,COMPONENT#1,間,,,,,
KANJI#20,COMPONENT#39,気,,,,,
KANJI#20,COMPONENT#40,気,,,,,
KANJI#21,COMPONENT#41,九,,,,,
KANJI#21,COMPONENT#42,九,,,,,
KANJI#22,COMPONENT#31,休,,,,,
KANJI#22,COMPONENT#43,休,,,,,
KANJI#23,COMPONENT#44,金,,,,,
KANJI#23,COMPONENT#21,金,,,,,
KANJI#23,COMPONENT#45,金,,,,,
KANJI#24,COMPONENT#11,月,,,,,
KANJI#28,COMPONENT#46,五,,,,,
KANJI#28,COMPONENT#47,五,,,,,
KANJI#29,COMPONENT#48,午,,,,,
KANJI#29,COMPONENT#49,午,,,,,
KANJI#29,COMPONENT#50,午,,,,,
KANJI#30,COMPONENT#51,後,,,,,
KANJI#30,COMPONENT#52,後,,,,,
KANJI#30,COMPONENT#53,後,,,,,
KANJI#31,COMPONENT#54,語,,,,,
KANJI#31,COMPONENT#55,語,,,,,
KANJI#31,COMPONENT#56,語,,,,,
KANJI#31,COMPONENT#24,語,,,,,
KANJI#34,COMPONENT#51,行,,,,,
KANJI#34,COMPONENT#57,行,,,,,
KANJI#34,COMPONENT#33,行,,,,,
KANJI#35,COMPONENT#43,校,,,,,
KANJI#35,COMPONENT#58,校,,,,,
KANJI#35,COMPONENT#59,校,,,,,
KANJI#35,COMPONENT#60,校,,,,,
KANJI#36,COMPONENT#59,高,,,,,
KANJI#36,COMPONENT#24,高,,,,,
KANJI#36,COMPONENT#26,高,,,,,
KANJI#37,COMPONENT#24,国,,,,,
KANJI#37,COMPONENT#61,国,,,,,
KANJI#37,COMPONENT#62,国,,,,,
KANJI#38,COMPONENT#44,今,,,,,
KANJI#38,COMPONENT#63,今,,,,,
KANJI#38,COMPONENT#64,今,,,,,
KANJI#39,COMPONENT#23,左,,,,,
KANJI#39,COMPONENT#65,左,,,,,
KANJI#40,COMPONENT#22,三,,,,,
KANJI#40,COMPONENT#11,三,,,,,
KANJI#41,COMPONENT#66,山,,,,,
KANJI#41,COMPONENT#67,山,,,,,
KANJI#42,COMPONENT#68,子,,,,,
KANJI#42,COMPONENT#22,子,,,,,
KANJI#43,COMPONENT#24,四,,,,,
KANJI#43,COMPONENT#17,四,,,,,
KANJI#44,COMPONENT#69,時,,,,,
KANJI#44,COMPONENT#21,時,,,,,
KANJI#44,COMPONENT#70,時,,,,,
KANJI#45,COMPONENT#22,七,,,,,
KANJI#47,COMPONENT#71,車,申,,,,
KANJI#47,COMPONENT#1,車,,,,,
KANJI#47,COMPONENT#11,車,,,,,
KANJI#47,COMPONENT#67,車,,,,,
KANJI#50,COMPONENT#22,十,,,,,
KANJI#50,COMPONENT#67,十,,,,,
KANJI#51,COMPONENT#72,出,山,,,,
KANJI#51,COMPONENT#66,出,,,,,
KANJI#52,COMPONENT#73,女,く,,,,
KANJI#52,COMPONENT#42,女,,,,,
KANJI#52,COMPONENT#22,女,,,,,
KANJI#53,COMPONENT#74,小,八,,,,
KANJI#53,COMPONENT#75,小,亅,,,,
KANJI#54,COMPONENT#22,上,,,,,
KANJI#54,COMPONENT#76,上,┣,,,,
KANJI#55,COMPONENT#44,食,,,,,
KANJI#55,COMPONENT#77,食,良,,,,
KANJI#55,COMPONENT#78,食,艮,,,,
KANJI#56,COMPONENT#42,人,,,,,
KANJI#57,COMPONENT#64,水,,,,,
KANJI#57,COMPONENT#75,水,亅,,,,
KANJI#58,COMPONENT#48,生,,,,,
KANJI#58,COMPONENT#21,生,,,,,
KANJI#58,COMPONENT#79,生,牛,,,,
KANJI#59,COMPONENT#24,西,,,,,
KANJI#59,COMPONENT#17,西,,,,,
KANJI#59,COMPONENT#22,西,,,,,
KANJI#62,COMPONENT#49,千,,,,,
KANJI#63,COMPONENT#42,川,,,,,
KANJI#63,COMPONENT#67,川,,,,,
KANJI#64,COMPONENT#48,先,,,,,
KANJI#64,COMPONENT#11,先,,,,,
KANJI#64,COMPONENT#21,先,,,,,
KANJI#64,COMPONENT#17,先,,,,,
KANJI#65,COMPONENT#80,前,⺉,,,,
KANJI#65,COMPONENT#81,前,月,,,,
KANJI#65,COMPONENT#22,前,,,,,
KANJI#65,COMPONENT#45,前,,,,,
KANJI#67,COMPONENT#30,大,,,,,
KANJI#67,COMPONENT#22,大,,,,,
KANJI#68,COMPONENT#14,男,,,,,
KANJI#68,COMPONENT#82,男,力,,,,
KANJI#69,COMPONENT#24,中,,,,,
KANJI#69,COMPONENT#67,中,,,,,
KANJI#71,COMPONENT#83,天,大,,,,
KANJI#71,COMPONENT#30,天,,,,,
KANJI#71,COMPONENT#22,天,,,,,
KANJI#73,COMPONENT#84,電,雨,,,,
KANJI#73,COMPONENT#1,電,,,,,
KANJI#73,COMPONENT#85,電,乚,,,,
KANJI#73,COMPONENT#26,電,,,,,
KANJI#74,COMPONENT#49,土,,,,,
KANJI#75,COMPONENT#1,東,,,,,
KANJI#75,COMPONENT#43,東,,,,,
KANJI#75,COMPONENT#71,東,申,,,,
