PK,SK,kanji_char,component_char,,,
KANJI#654,COMPONENT#127,高,亠,,,
KANJI#654,COMPONENT#285,高,口,,,
KANJI#654,COMPONENT#188,高,冂,,,
KANJI#960,COMPONENT#909,食,𠆢,,,
KANJI#960,COMPONENT#776,食,良,,,
KANJI#960,COMPONENT#775,食,艮,,,
KANJI#1948,COMPONENT#865,電,雨,,,
KANJI#1948,COMPONENT#538,電,日,,,
KANJI#1948,COMPONENT#108,電,乚,,,
KANJI#1948,COMPONENT#188,電,冂,,,
KANJI#1856,COMPONENT#92,雨,丶,,,
KANJI#1856,COMPONENT#188,雨,冂,,,
KANJI#1856,COMPONENT#3,雨,┬,,,
KANJI#51,COMPONENT#853,間,門,,,
KANJI#51,COMPONENT#538,間,日,,,
KANJI#1743,COMPONENT#909,金,𠆢,,,
KANJI#1743,COMPONENT#327,金,土,,,
KANJI#1743,COMPONENT#93,金,丷,,,
KANJI#675,COMPONENT#663,車,申,,,
KANJI#675,COMPONENT#538,車,日,,,
KANJI#675,COMPONENT#117,車,二,,,
KANJI#675,COMPONENT#86,車,丨,,,
KANJI#442,COMPONENT#810,読,言,,,
KANJI#442,COMPONENT#341,読,売,,,
KANJI#442,COMPONENT#337,読,士,,,
KANJI#442,COMPONENT#164,読,儿,,,
KANJI#1495,COMPONENT#810,語,言,,,
KANJI#1495,COMPONENT#305,語,吾,,,
KANJI#1495,COMPONENT#121,語,五,,,
KANJI#1495,COMPONENT#285,語,口,,,
KANJI#1199,COMPONENT#810,話,言,,,
KANJI#1199,COMPONENT#769,話,舌,,,
KANJI#1199,COMPONENT#245,話,千,,,
KANJI#1199,COMPONENT#285,話,口,,,
KANJI#761,COMPONENT#686,見,目,,,
KANJI#761,COMPONENT#164,見,儿,,,
KANJI#1207,COMPONENT#285,西,口,,,
KANJI#1207,COMPONENT#164,西,儿,,,
KANJI#1207,COMPONENT#65,西,一,,,
KANJI#1604,COMPONENT#487,行,彳,,,
KANJI#1604,COMPONENT#118,行,亍,,,
KANJI#1604,COMPONENT#67,行,丁,,,
KANJI#1591,COMPONENT#853,聞,門,,,
KANJI#1591,COMPONENT#750,聞,耳,,,
KANJI#1645,COMPONENT#681,百,白,,,
KANJI#1645,COMPONENT#65,百,一,,,
KANJI#662,COMPONENT#538,白,日,,,
KANJI#1435,COMPONENT#660,男,田,,,
KANJI#1435,COMPONENT#221,男,力,,,
KANJI#485,COMPONENT#907,生,𠂉,,,
KANJI#485,COMPONENT#327,生,土,,,
KANJI#485,COMPONENT#643,生,牛,,,
KANJI#517,COMPONENT#177,父,八,,,
KANJI#517,COMPONENT#98,父,乂,,,
KANJI#1499,COMPONENT#143,火,人,,,
KANJI#2191,COMPONENT#32,水,フ,,,
KANJI#2191,COMPONENT#113,水,亅,,,
KANJI#2067,COMPONENT#614,気,气,,,
KANJI#2067,COMPONENT#43,気,㐅,,,
KANJI#210,COMPONENT#606,毎,毋,,,
KANJI#210,COMPONENT#907,毎,𠂉,,,
KANJI#1058,COMPONENT#92,母,丶,,,
KANJI#1058,COMPONENT#908,母,𠃌,,,
KANJI#544,COMPONENT#572,校,木,,,
KANJI#544,COMPONENT#132,校,交,,,
KANJI#544,COMPONENT#127,校,亠,,,
KANJI#544,COMPONENT#640,校,父,,,
KANJI#179,COMPONENT#538,東,日,,,
KANJI#179,COMPONENT#572,東,木,,,
KANJI#179,COMPONENT#663,東,申,,,
KANJI#1650,COMPONENT#573,来,未,,,
KANJI#1650,COMPONENT#572,来,木,,,
KANJI#1650,COMPONENT#93,来,丷,,,
KANJI#380,COMPONENT#572,本,木,,,
KANJI#380,COMPONENT#242,本,十,,,
KANJI#988,COMPONENT#242,木,十,,,
KANJI#1834,COMPONENT#117,月,二,,,
KANJI#586,COMPONENT#753,書,肀,,,
KANJI#586,COMPONENT#117,書,二,,,
KANJI#586,COMPONENT#538,書,日,,,
KANJI#582,COMPONENT#538,時,日,,,
KANJI#582,COMPONENT#397,時,寺,,,
KANJI#582,COMPONENT#327,時,土,,,
KANJI#582,COMPONENT#396,時,寸,,,
KANJI#830,COMPONENT#285,日,口,,,
KANJI#830,COMPONENT#65,日,一,,,
KANJI#418,COMPONENT#487,後,彳,,,
KANJI#418,COMPONENT#459,後,幺,,,
KANJI#418,COMPONENT#343,後,夂,,,
KANJI#1565,COMPONENT#249,年,午,,,
KANJI#1565,COMPONENT#1,年,┌,,,
KANJI#1565,COMPONENT#907,年,𠂉,,,
KANJI#522,COMPONENT#27,左,ナ,,,
KANJI#522,COMPONENT#434,左,工,,,
KANJI#1358,COMPONENT#30,川,ノ,,,
KANJI#1358,COMPONENT#86,川,丨,,,
KANJI#684,COMPONENT#208,山,凵,,,
KANJI#684,COMPONENT#86,山,丨,,,
KANJI#409,COMPONENT#177,小,八,,,
KANJI#409,COMPONENT#113,小,亅,,,
KANJI#1021,COMPONENT#373,学,子,,,
KANJI#1021,COMPONENT#11,学,⺍,,,
KANJI#1021,COMPONENT#199,学,冖,,,
KANJI#1200,COMPONENT#114,子,了,,,
KANJI#1200,COMPONENT#65,子,一,,,
