PK,SK,word,kanji
KANJI#1,WORD#1,猫,猫
KANJI#25,WORD#2,犬,犬
KANJI#3,WORD#6,書きます,書
KANJI#4,WORD#7,見ます,見
KANJI#5,WORD#8,捨てます,捨
KANJI#7,WORD#9,一,一
KANJI#79,WORD#10,二,二
KANJI#40,WORD#11,三,三
KANJI#43,WORD#12,四,四
KANJI#28,WORD#13,五,五
KANJI#102,WORD#14,六,六
KANJI#45,WORD#15,七,七
KANJI#85,WORD#16,八,八
KANJI#21,WORD#17,九,九
KANJI#50,WORD#18,十,十
KANJI#50,WORD#19,十一,十
KANJI#7,WORD#19,十一,一
KANJI#79,WORD#20,十二,二
KANJI#50,WORD#20,十二,十
KANJI#50,WORD#21,十四,十
KANJI#43,WORD#21,十四,四
KANJI#79,WORD#22,二十,二
KANJI#50,WORD#22,二十,十
KANJI#50,WORD#23,三十,十
KANJI#40,WORD#23,三十,三
KANJI#50,WORD#24,三十一,十
KANJI#7,WORD#24,三十一,一
KANJI#40,WORD#24,三十一,三
KANJI#87,WORD#25,百,百
KANJI#34,WORD#26,銀行員,行
KANJI#15,WORD#27,会社員,会
KANJI#46,WORD#27,会社員,社
KANJI#58,WORD#29,先生,生
KANJI#64,WORD#29,先生,先
KANJI#72,WORD#31,店員,店
KANJI#48,WORD#32,歌手,手
KANJI#58,WORD#34,学生,生
KANJI#18,WORD#34,学生,学
KANJI#37,WORD#36,国,国
KANJI#94,WORD#37,日本,本
KANJI#80,WORD#37,日本,日
KANJI#37,WORD#38,韓国,国
KANJI#37,WORD#39,中国,国
KANJI#69,WORD#39,中国,中
KANJI#31,WORD#44,日本語,語
KANJI#94,WORD#44,日本語,本
KANJI#80,WORD#44,日本語,日
KANJI#37,WORD#45,韓国語,国
KANJI#31,WORD#45,韓国語,語
KANJI#31,WORD#46,中国語,語
KANJI#37,WORD#46,中国語,国
KANJI#69,WORD#46,中国語,中
KANJI#31,WORD#47,英語,語
KANJI#34,WORD#48,銀行,行
KANJI#15,WORD#52,会社,会
KANJI#46,WORD#52,会社,社
KANJI#94,WORD#58,本屋,本
KANJI#14,WORD#59,花屋,花
KANJI#35,WORD#65,学校,校
KANJI#18,WORD#65,学校,学
KANJI#67,WORD#66,大学,大
KANJI#18,WORD#66,大学,学
KANJI#67,WORD#71,大使館,大
KANJI#32,WORD#73,北口,口
KANJI#92,WORD#73,北口,北
KANJI#32,WORD#74,南口,口
KANJI#78,WORD#74,南口,南
KANJI#32,WORD#75,東口,口
KANJI#75,WORD#75,東口,東
KANJI#59,WORD#76,西口,西
KANJI#32,WORD#76,西口,口
KANJI#99,WORD#83,友達,友
KANJI#88,WORD#84,父,父
KANJI#88,WORD#85,お父さん,父
KANJI#91,WORD#86,母,母
KANJI#91,WORD#87,お母さん,母
KANJI#42,WORD#95,息子,子
KANJI#68,WORD#97,男,男
KANJI#52,WORD#98,女,女
KANJI#56,WORD#100,ご主人,人
KANJI#42,WORD#104,子供,子
KANJI#88,WORD#105,祖父,父
KANJI#91,WORD#107,祖母,母
KANJI#88,WORD#109,叔父,父
KANJI#91,WORD#110,叔母,母
KANJI#42,WORD#118,帽子,子
KANJI#11,WORD#125,下着,下
KANJI#48,WORD#129,手袋,手
KANJI#11,WORD#134,靴下,下
KANJI#16,WORD#137,海,海
KANJI#63,WORD#138,川,川
KANJI#41,WORD#139,山,山
KANJI#93,WORD#141,木,木
KANJI#14,WORD#146,花,花
KANJI#32,WORD#153,口,口
KANJI#98,WORD#155,目,目
KANJI#55,WORD#158,食べ物,食
KANJI#57,WORD#183,水,水
KANJI#47,WORD#195,車,車
KANJI#47,WORD#199,自転車,車
KANJI#47,WORD#200,電車,車
KANJI#73,WORD#200,電車,電
KANJI#11,WORD#201,地下鉄,下
KANJI#34,WORD#202,飛行機,行
KANJI#82,WORD#214,万年筆,年
KANJI#96,WORD#214,万年筆,万
KANJI#42,WORD#227,椅子,子
KANJI#81,WORD#229,押し入れ,入
KANJI#94,WORD#230,本棚,本
KANJI#14,WORD#234,花瓶,花
KANJI#80,WORD#238,日曜日,日
KANJI#24,WORD#239,月曜日,月
KANJI#80,WORD#239,月曜日,日
KANJI#12,WORD#240,火曜日,火
KANJI#80,WORD#240,火曜日,日
KANJI#57,WORD#241,水曜日,水
KANJI#80,WORD#241,水曜日,日
KANJI#93,WORD#242,木曜日,木
KANJI#80,WORD#242,木曜日,日
KANJI#23,WORD#243,金曜日,金
KANJI#80,WORD#243,金曜日,日
KANJI#74,WORD#244,土曜日,土
KANJI#80,WORD#244,土曜日,日
KANJI#7,WORD#245,一昨日,一
KANJI#80,WORD#245,一昨日,日
KANJI#80,WORD#246,昨日,日
KANJI#38,WORD#247,今日,今
KANJI#80,WORD#247,今日,日
KANJI#80,WORD#248,明日,日
KANJI#30,WORD#249,明後日,後
KANJI#80,WORD#249,明後日,日
KANJI#64,WORD#250,先週,先
KANJI#49,WORD#250,先週,週
KANJI#38,WORD#251,今週,今
KANJI#49,WORD#251,今週,週
KANJI#100,WORD#252,来週,来
KANJI#49,WORD#252,来週,週
KANJI#64,WORD#253,先月,先
KANJI#24,WORD#253,先月,月
KANJI#38,WORD#254,今月,今
KANJI#24,WORD#254,今月,月
KANJI#100,WORD#255,来月,来
KANJI#24,WORD#255,来月,月
KANJI#82,WORD#256,去年,年
KANJI#38,WORD#257,今年,今
KANJI#82,WORD#257,今年,年
KANJI#100,WORD#258,来年,来
KANJI#82,WORD#258,来年,年
KANJI#95,WORD#259,毎日,毎
KANJI#80,WORD#259,毎日,日
KANJI#95,WORD#260,毎週,毎
KANJI#49,WORD#260,毎週,週
KANJI#95,WORD#261,毎晩,毎
KANJI#38,WORD#262,今朝,今
KANJI#38,WORD#263,今晩,今
KANJI#58,WORD#265,誕生日,生
KANJI#80,WORD#265,誕生日,日
KANJI#34,WORD#271,行きます,行
KANJI#77,WORD#274,読みます,読
KANJI#83,WORD#275,買います,買
KANJI#90,WORD#276,聞きます,聞
KANJI#15,WORD#278,会います,会
KANJI#26,WORD#293,言います,言
KANJI#103,WORD#294,話します,話
KANJI#101,WORD#295,立ちます,立
KANJI#51,WORD#297,出します,出
KANJI#55,WORD#309,食べます,食
KANJI#4,WORD#310,見せます,見
KANJI#51,WORD#311,出かけます,出
KANJI#81,WORD#318,入れます,入
KANJI#66,WORD#319,足ります,足
KANJI#55,WORD#326,食事します,食
KANJI#100,WORD#327,来ます,来
KANJI#67,WORD#335,大抵,大
KANJI#44,WORD#337,時々,時
KANJI#67,WORD#346,大きい,大
KANJI#53,WORD#347,小さい,小
KANJI#36,WORD#348,高い,高
KANJI#6,WORD#349,安い,安
KANJI#27,WORD#356,古い,古
KANJI#70,WORD#362,長い,長
KANJI#84,WORD#370,面白い,白
KANJI#33,WORD#384,広い,広
KANJI#97,WORD#389,有名,名
KANJI#54,WORD#393,上手な,上
KANJI#48,WORD#393,上手な,手
KANJI#48,WORD#394,下手な,手
KANJI#11,WORD#394,下手な,下
KANJI#13,WORD#398,何,何
KANJI#52,WORD#406,女性,女
KANJI#68,WORD#407,男性,男
