PK,SK,word,kanji
WORD#1,KANJI#391,猫,猫
WORD#2,KANJI#149,犬,犬
WORD#3,KANJI#82,鳥,鳥
WORD#4,KANJI#83,魚,魚
WORD#5,KANJI#250,馬,馬
WORD#6,KANJI#32,書きます,書
WORD#7,KANJI#12,見ます,見
WORD#8,KANJI#862,捨てます,捨
WORD#9,KANJI#80,一,一
WORD#10,KANJI#72,二,二
WORD#11,KANJI#77,三,三
WORD#12,KANJI#49,四,四
WORD#13,KANJI#71,五,五
WORD#14,KANJI#63,六,六
WORD#15,KANJI#79,七,七
WORD#16,KANJI#64,八,八
WORD#17,KANJI#73,九,九
WORD#18,KANJI#57,十,十
WORD#19,KANJI#80,十一,一
WORD#19,KANJI#57,十一,十
WORD#20,KANJI#72,十二,二
WORD#20,KANJI#57,十二,十
WORD#21,KANJI#49,十四,四
WORD#21,KANJI#57,十四,十
WORD#22,KANJI#72,二十,二
WORD#22,KANJI#57,二十,十
WORD#23,KANJI#77,三十,三
WORD#23,KANJI#57,三十,十
WORD#24,KANJI#80,三十一,一
WORD#24,KANJI#77,三十一,三
WORD#24,KANJI#57,三十一,十
WORD#25,KANJI#16,百,百
WORD#26,KANJI#14,銀行員,行
WORD#26,KANJI#96,銀行員,銀
WORD#26,KANJI#215,銀行員,員
WORD#27,KANJI#134,会社員,社
WORD#27,KANJI#239,会社員,会
WORD#27,KANJI#215,会社員,員
WORD#28,KANJI#223,医者,医
WORD#28,KANJI#123,医者,者
WORD#29,KANJI#66,先生,先
WORD#29,KANJI#19,先生,生
WORD#31,KANJI#192,店員,店
WORD#31,KANJI#215,店員,員
WORD#32,KANJI#181,歌手,手
WORD#32,KANJI#161,歌手,歌
WORD#33,KANJI#310,警察官,警
WORD#33,KANJI#509,警察官,察
WORD#33,KANJI#520,警察官,官
WORD#34,KANJI#19,学生,生
WORD#34,KANJI#41,学生,学
WORD#35,KANJI#245,主婦,主
WORD#35,KANJI#525,主婦,婦
WORD#36,KANJI#48,国,国
WORD#37,KANJI#34,日本,日
WORD#37,KANJI#29,日本,本
WORD#38,KANJI#48,韓国,国
WORD#39,KANJI#48,中国,国
WORD#39,KANJI#74,中国,中
WORD#44,KANJI#34,日本語,日
WORD#44,KANJI#29,日本語,本
WORD#44,KANJI#10,日本語,語
WORD#45,KANJI#48,韓国語,国
WORD#45,KANJI#10,韓国語,語
WORD#46,KANJI#48,中国語,国
WORD#46,KANJI#74,中国語,中
WORD#46,KANJI#10,中国語,語
WORD#47,KANJI#118,英語,英
WORD#47,KANJI#10,英語,語
WORD#48,KANJI#14,銀行,行
WORD#48,KANJI#96,銀行,銀
WORD#49,KANJI#507,郵便局,局
WORD#49,KANJI#648,郵便局,郵
WORD#49,KANJI#599,郵便局,便
WORD#50,KANJI#196,薬屋,屋
WORD#50,KANJI#328,薬屋,薬
WORD#51,KANJI#142,病院,病
WORD#51,KANJI#94,病院,院
WORD#52,KANJI#134,会社,社
WORD#52,KANJI#239,会社,会
WORD#57,KANJI#86,映画館,館
WORD#57,KANJI#144,映画館,画
WORD#57,KANJI#170,映画館,映
WORD#58,KANJI#196,本屋,屋
WORD#58,KANJI#29,本屋,本
WORD#59,KANJI#196,花屋,屋
WORD#59,KANJI#119,花屋,花
WORD#60,KANJI#196,ケーキ屋,屋
WORD#61,KANJI#196,ラーメン屋,屋
WORD#62,KANJI#196,カレー屋,屋
WORD#64,KANJI#198,家,家
WORD#65,KANJI#41,学校,学
WORD#65,KANJI#26,学校,校
WORD#66,KANJI#41,大学,学
WORD#66,KANJI#45,大学,大
WORD#69,KANJI#86,博物館,館
WORD#69,KANJI#2092,博物館,博
WORD#69,KANJI#151,博物館,物
WORD#70,KANJI#231,公園,公
WORD#70,KANJI#539,公園,園
WORD#71,KANJI#235,大使館,使
WORD#71,KANJI#45,大使館,大
WORD#71,KANJI#86,大使館,館
WORD#72,KANJI#145,町,町
WORD#73,KANJI#221,北口,口
WORD#73,KANJI#58,北口,北
WORD#74,KANJI#221,南口,口
WORD#74,KANJI#53,南口,南
WORD#75,KANJI#221,東口,口
WORD#75,KANJI#27,東口,東
WORD#76,KANJI#13,西口,西
WORD#76,KANJI#221,西口,口
WORD#77,KANJI#909,季節,季
WORD#77,KANJI#1409,季節,節
WORD#78,KANJI#169,春,春
WORD#79,KANJI#208,夏,夏
WORD#80,KANJI#132,秋,秋
WORD#81,KANJI#229,冬,冬
WORD#82,KANJI#173,家族,族
WORD#82,KANJI#198,家族,家
WORD#83,KANJI#283,友達,達
WORD#83,KANJI#52,友達,友
WORD#84,KANJI#20,父,父
WORD#85,KANJI#20,お父さん,父
WORD#86,KANJI#25,母,母
WORD#87,KANJI#25,お母さん,母
WORD#88,KANJI#232,兄,兄
WORD#89,KANJI#232,お兄さん,兄
WORD#90,KANJI#203,姉,姉
WORD#91,KANJI#203,お姉さん,姉
WORD#92,KANJI#189,弟,弟
WORD#93,KANJI#204,妹,妹
WORD#94,KANJI#189,兄弟,弟
WORD#94,KANJI#232,兄弟,兄
WORD#95,KANJI#477,息子,息
WORD#95,KANJI#42,息子,子
WORD#96,KANJI#527,娘,娘
WORD#97,KANJI#18,男,男
WORD#98,KANJI#43,女,女
WORD#99,KANJI#531,夫,夫
WORD#100,KANJI#245,ご主人,主
WORD#100,KANJI#70,ご主人,人
WORD#101,KANJI#528,妻,妻
WORD#102,KANJI#912,奥さん,奥
WORD#103,KANJI#116,両親,親
WORD#103,KANJI#616,両親,両
WORD#104,KANJI#42,子供,子
WORD#104,KANJI#600,子供,供
WORD#105,KANJI#20,祖父,父
WORD#105,KANJI#368,祖父,祖
WORD#107,KANJI#25,祖母,母
WORD#107,KANJI#368,祖母,祖
WORD#109,KANJI#2082,叔父,叔
WORD#109,KANJI#20,叔父,父
WORD#110,KANJI#25,叔母,母
WORD#110,KANJI#2082,叔母,叔
WORD#111,KANJI#908,孫,孫
WORD#112,KANJI#224,動物,動
WORD#112,KANJI#151,動物,物
WORD#113,KANJI#1180,豚,豚
WORD#114,KANJI#152,牛,牛
WORD#115,KANJI#997,鶏,鶏
WORD#116,KANJI#165,服,服
WORD#117,KANJI#137,着物,着
WORD#117,KANJI#151,着物,物
WORD#118,KANJI#42,帽子,子
WORD#118,KANJI#888,帽子,帽
WORD#125,KANJI#75,下着,下
WORD#125,KANJI#137,下着,着
WORD#129,KANJI#181,手袋,手
WORD#129,KANJI#691,手袋,袋
WORD#130,KANJI#1081,眼鏡,鏡
WORD#130,KANJI#1472,眼鏡,眼
WORD#134,KANJI#75,靴下,下
WORD#134,KANJI#259,靴下,靴
WORD#135,KANJI#259,靴,靴
WORD#137,KANJI#154,海,海
WORD#138,KANJI#38,川,川
WORD#139,KANJI#39,山,山
WORD#140,KANJI#89,風,風
WORD#141,KANJI#30,木,木
WORD#142,KANJI#830,森,森
WORD#143,KANJI#130,空,空
WORD#144,KANJI#632,雲,雲
WORD#145,KANJI#815,池,池
WORD#146,KANJI#119,花,花
WORD#147,KANJI#331,草,草
WORD#148,KANJI#237,体,体
WORD#149,KANJI#257,頭,頭
WORD#150,KANJI#251,首,首
WORD#151,KANJI#711,腕,腕
WORD#152,KANJI#457,指,指
WORD#153,KANJI#221,口,口
WORD#154,KANJI#342,耳,耳
WORD#155,KANJI#139,目,目
WORD#156,KANJI#619,鼻,鼻
WORD#157,KANJI#249,髪,髪
WORD#158,KANJI#2,食べ物,食
WORD#158,KANJI#151,食べ物,物
WORD#159,KANJI#148,料理,理
WORD#159,KANJI#177,料理,料
WORD#160,KANJI#88,ご飯,飯
WORD#168,KANJI#493,弁当,当
WORD#168,KANJI#1898,弁当,弁
WORD#171,KANJI#164,朝ご飯,朝
WORD#171,KANJI#88,朝ご飯,飯
WORD#172,KANJI#168,昼ご飯,昼
WORD#172,KANJI#88,昼ご飯,飯
WORD#173,KANJI#443,晩ご飯,晩
WORD#173,KANJI#88,晩ご飯,飯
WORD#176,KANJI#1623,味噌汁,汁
WORD#176,KANJI#217,味噌汁,味
WORD#179,KANJI#152,牛肉,牛
WORD#179,KANJI#122,牛肉,肉
WORD#180,KANJI#1180,豚肉,豚
WORD#180,KANJI#122,豚肉,肉
WORD#181,KANJI#122,鶏肉,肉
WORD#181,KANJI#997,鶏肉,鶏
WORD#182,KANJI#939,卵,卵
WORD#183,KANJI#22,水,水
WORD#184,KANJI#152,牛乳,牛
WORD#184,KANJI#981,牛乳,乳
WORD#186,KANJI#117,お茶,茶
WORD#190,KANJI#275,お酒,酒
WORD#195,KANJI#8,車,車
WORD#199,KANJI#121,自転車,自
WORD#199,KANJI#8,自転車,車
WORD#199,KANJI#105,自転車,転
WORD#200,KANJI#8,電車,車
WORD#200,KANJI#3,電車,電
WORD#201,KANJI#212,地下鉄,地
WORD#201,KANJI#75,地下鉄,下
WORD#201,KANJI#644,地下鉄,鉄
WORD#202,KANJI#252,飛行機,飛
WORD#202,KANJI#14,飛行機,行
WORD#202,KANJI#423,飛行機,機
WORD#203,KANJI#335,船,船
WORD#208,KANJI#388,野球,球
WORD#208,KANJI#97,野球,野
WORD#209,KANJI#2093,卓球,卓
WORD#209,KANJI#388,卓球,球
WORD#210,KANJI#746,鉛筆,筆
WORD#210,KANJI#1098,鉛筆,鉛
WORD#214,KANJI#746,万年筆,筆
WORD#214,KANJI#36,万年筆,年
WORD#214,KANJI#78,万年筆,万
WORD#215,KANJI#404,消しゴム,消
