No.,japanese,level,english,vietnamese,grammar,,1,2,3,4,5,6,7,8,9,10,word1_name,word1_name,word1_id,word2_name,word2_id,word3_name,word3_id,word4_name,word4_id,word5_name,word5_id,word6_name,word6_id,word7_name,word7_id,word8_name,word8_id,word9_name,word9_id,word10_name,word10_id,word11_name,word11_id,word12_name,word12_id,word13_name,word13_id,word14_name,word14_id
1,わたしはがくせいです,1,I am a student.,Tôi là học sinh.,"1,3",#N/A,あなた,で,せんせい,じゃない,がっこう,こども,も,に,か,まだ,わたし,5074,は,,がくせい,34,です,,,,,,,,,,,,,,,,,,,,,
2,これはあなたのいすです,1,This is your chair.,Đây là ghế của bạn.,"3,3",#N/A,つくえ,に,を,わたし,ごはん,き,いえ,ます,じゃない,ペン,これ,695,は,,あなた,5075,の,,いす,227,です,,,,,,,,,,,,,,,,,
3,ごはんをたべます,1,I eat rice.,Tôi ăn cơm.,81,〜を（基本助詞）,さかな,にく,のむ,たべる,で,に,と,ない,です,かいます,ごはん,160,を,,たべ,309,ます,,,,,,,,,,,,,,,,,,,,,
4,りんごとみかんをかいます,1,I buy apples and mandarins.,Tôi mua táo và quýt.,46,助詞 と（並列）,ごはん,のみます,たべます,のむ,かう,です,たべる,たべ,のま,も,りんご,191,と,,みかん,193,を,,かいます,275,,,,,,,,,,,,,,,,,,
5,このさかなはおいしいです,1,This fish is delicious.,Con cá này ngon.,79,い形容詞＋です（肯定）,にく,に,まずい,おいしく,を,まずく,か,ない,すし,たべます,この,693,さかな,4,は,,おいしい,405,です,,,,,,,,,,,,,,,,,,,
6,にほんはきれいです,1,Japan is beautiful.,Nhật Bản đẹp.,80,な形容詞＋です（肯定）,かわいい,ない,します,で,に,きたなく,きたない,きれいに,じゃ,きれいに,にほん,37,は,,すき,395,です,,,,,,,,,,,,,,,,,,,,,
7,これはつくえではありません,1,This is not a desk.,Đây không phải là cái bàn.,140,〜ではありません,も,いす,です,ない,わたし,いす,へや,かいます,を,わたし,これ,695,は,,つくえ,228,では,,ありません,,,,,,,,,,,,,,,,,,,
8,あなたはせんせいですか,1,Are you a teacher?,Bạn có phải là giáo viên không?,141,ではない（な形容詞の否定）,がくせい,じゃない,わたし,に,で,も,おとうさん,がっこう,ます,おかあさん,あなた,5075,は,,せんせい,29,です,,か,2129,,,,,,,,,,,,,,,,,,
9,お姉さんは猫も好きです,2,My older sister also likes cats.,Chị gái tôi cũng thích mèo.,52,助詞 も（主題／列挙）,おにいさん,とり,いもうと,おとうと,ない,では,で,に,を,でしょう,おねえさん,91,は,,ねこ,1,も,,すき,395,です,,,,,,,,,,,,,,,,,
10,おとうとは学校で日本語を勉強します。,2,My younger brother studies Japanese at school.,Em trai tôi học tiếng Nhật ở trường.,51,助詞 で（場所）,おねえさん,くうこう,ホテル,おにいさん,おとうと,いいます,に,いきます,で,ます,おとうと,92,は,,がっこう,65,で,,にほんご,44,を,,べんきょう,325,します,329,,,,,,,,,,,,
11,いもうと三時から四時まで英語を勉強します。,2,My younger sister studies English from three to four.,Em gái tôi học tiếng Anh từ ba giờ đến bốn giờ.,53,助詞 から〜まで（範囲）,にじ,ごじ,いちじ,に,で,にほんご,いいます,たべます,から,まで,いもうと,93,は,,さん,11,じ,,から,600,よ,12,じ,,まで,,えいご,47,を,,べんきょう,325,します,329,,,,
12,お母さんは七時に朝ご飯を食べます。,2,My mother eats breakfast at seven.,Mẹ tôi ăn sáng lúc bảy giờ.,60,時間表現（〜時／〜時に）,おとうさん,おじいさん,おばあさん,ろくじ,はちじ,へ,まで,よるごはん,のみます,ません,おかあさん,87,は,,なな,15,じ,,に,10,あさごはん,171,を,,たべ,309,ます,,,,,,,,,,,
13,お兄さんは学校から家まで帰ります。,2,My older brother goes home from school.,Anh trai tôi về nhà từ trường.,65,場所方向（〜から／まで）,ホテル,おとうさん,おとうと,も,が,へや,いき,ません,ましょう,ある,おにいさん,89,は,,がっこう,65,から,600,いえ,64,まで,,かえり,272,ます,,,,,,,,,,,,,
14,公園に行きましょう。,2,Let’s go to the park.,Chúng ta đi công viên nhé.,71,意向形（〜ましょう）,がっこう,ホテル,くうこう,いき,ます,ません,ない,ましょう,行く,を,こうえん,70,に,10,いき,271,ましょう,,,,,,,,,,,,,,,,,,,,,
15,弟はコーヒーを飲みません。,2,My younger brother doesn’t drink coffee.,Em trai tôi không uống cà phê.,78,V + ません,いもうと,おにいさん,おちゃ,ます,すき,たべ,ましょう,ジュース,みず,で,おとうと,92,は,,コーヒー,187,を,,のみ,273,ません,,,,,,,,,,,,,,,,,
16,お父さんは空港に行きます。,2,My father goes to the airport.,Bố tôi đi sân bay.,82,〜に（基本助詞）,おかあさん,おじいさん,おばあさん,で,はたらき,かえり,ません,いく,かえる,はたらく,おとうさん,85,は,,くうこう,574,に,10,いき,271,ます,,,,,,,,,,,,,,,,,
17,今日の夜は何を食べますか。,2,What will you eat tonight?,Tối nay bạn sẽ ăn gì?,146,何（疑問詞）,あさ,みず,みせ,ねこ,いえ,ともだち,がっこう,で,かさ,のみます,きょう,247,の,,よる,506,は,,なに,398,を,,たべ,309,ます,,か,,,,,,,,,,,
18,明日は誰と会いますか。,2,Who will you meet tomorrow?,Ngày mai bạn sẽ gặp ai?,147,誰（疑問詞）,どこ,いき,ほん,すいようび,の,いぬ,が,つくえ,に,ねます,あした,248,は,,だれ,400,と,,あい,278,ます,,か,,,,,,,,,,,,,,,
19,冷蔵庫に何かありますか。,2,Is there anything in the refrigerator?,Trong tủ lạnh có gì không?,146,何（疑問詞）,まど,を,あけて,つくります,あさごはん,の,おちゃ,に,します,ねこ,れいぞうこ,559,に,10,なに,398,か,2129,あり,,ます,,か,,,,,,,,,,,,,,,
20,教室に誰かいますか。,2,Is anyone in the classroom?,Trong lớp học có ai không?,147,誰（疑問詞）,そと,で,べんきょう,を,のみます,ともだち,に,かさ,は,およぎます,きょうしつ,2181,に,10,だれ,400,か,2129,い,2417,ます,,か,,,,,,,,,,,,,,,
21,いっしょにテニスをしませんか。,3,Would you like to play tennis together?,Bạn có muốn chơi tennis cùng tôi không?,8,〜ませんか,あそび,ましょう,の,すき,に,おどり,を,よみ,ました,から,いっしょ,591,に,10,テニス,204,を,,し,1660,ません,,か,,,,,,,,,,,,,,,
22,日本語のノートを見せてください。,3,Please show me your Japanese notebook.,Xin hãy cho tôi xem vở tiếng Nhật của bạn.,9,Vてください,ほん,を,かりて,おきます,いぬ,と,うた,を,うたい,ます,にほんご,44,の,,ノート,218,を,,みせて,310,ください,,,,,,,,,,,,,,,,,
23,お腹がすいたから、昼ご飯を食べます。,3,I am hungry so I will eat lunch.,Tôi đói nên tôi sẽ ăn trưa.,23,〜から（理由）,あさ,に,みず,を,のみ,たい,です,ねむい,の,です,おなか,670,が,,すい,850,た,,から,600,ひるごはん,172,を,,たべ,309,ます,,,,,,,,,,,
24,ここで写真をとってもいいです。,3,May I take a photo here?,Tôi có thể chụp ảnh ở đây không?,29,〜てもいいです,まど,に,すわって,ください,いけません,ながい,は,おおきい,うた,を,ここ,5087,で,,しゃしん,546,を,,とって,277,も,,いい,351,です,,,,,,,,,,,,,
25,その窓にさわってはいけません。,3,Do not touch that window.,Không được chạm vào cửa sổ đó.,30,〜てはいけません,つくえ,の,うえ,に,ねこ,が,います,いき,たい,ですね,その,3703,まど,231,に,10,さわって,829,は,,いけ,,ません,,,,,,,,,,,,,,,
26,夜に大きい声で歌ってはいけない。,3,You must not sing loudly at night.,Không được hát to vào ban đêm.,42,禁止形（〜てはいけない）,あさ,に,ちいさい,てがみ,を,かいて,も,いい,です,よ,よる,506,に,10,おおきい,346,こえ,816,で,,うたって,288,は,,いけ,,ない,,,,,,,,,,,
28,庭に犬がいます。,3,There is a dog in the garden.,Trong vườn có một con chó.,49,助詞 が（主格／存在）,そと,で,はな,を,み,ます,さかな,に,の,です,にわ,1782,に,10,いぬ,2,が,,い,501,ます,,,,,,,,,,,,,,,,,
29,日本人はカレーライスをスプーンで食べます。,3,Japanese people eat curry rice with a spoon.,Người Nhật ăn cơm cà ri bằng thìa.,50,助詞 で（手段）,ぱん,と,ごはん,を,のんで,います,すし,に,きって,ください,にほんじん,5098,は,,カレーライス,164,を,#N/A,スプーン,708,で,,たべ,309,ます,,,,,,,,,,,,,
30,昨日の天気は涼しかったです。,3,The weather yesterday was cool.,Thời tiết hôm qua thật mát mẻ.,56,形容詞（い形）過去形,あつい,さむい,なつ,に,いき,ました,いま,は,あめ,です,きのう,246,の,,てんき,581,は,,すずし,381,かった,,です,,,,,,,,,,,,,,,
31,昨日の夜は静かでした。,3,Last night was quiet.,Tối qua thật yên tĩnh.,58,形容詞（な形）過去形,にぎやか,です,まいにち,の,ひる,いえ,に,いました,つかれた,です,きのう,246,の,,よる,506,は,,しずか,392,でした,,,,,,,,,,,,,,,,,
32,金曜日にお父さんは友達と会います。,3,My father meets his friends on Friday.,Vào thứ sáu bố tôi gặp bạn bè.,61,時間表現（〜曜日）,どようび,で,しごと,を,します,に,でかけ,ます,はな,を,きんようび,243,に,10,おとうさん,85,は,,ともだち,83,と,,あい,2534,ます,,,,,,,,,,,,,
33,お母さんはお菓子をどこで買いましたか。,3,Where did your mother buy the sweets?,Mẹ bạn đã mua bánh kẹo ở đâu?,148,どこ（疑問詞）,みせ,に,ねこ,が,いました,きょう,の,すーぱー,で,みました,おかあさん,87,は,,おかし,667,を,,どこ,403,で,,かい,275,ました,,か,,,,,,,,,,,
34,おばあさんはいつ帰りますか。,3,When will your grandmother go home?,Bà bạn sẽ về khi nào?,149,いつ（疑問詞）,あさって,に,ねます,か,で,いき,ます,たぶん,いい,です,おばあさん,108,は,,いつ,402,かえり,272,ます,,か,,,,,,,,,,,,,,,,,
35,春と秋のどちらが好きですか。,3,Which do you like spring or autumn?,Bạn thích mùa xuân hay mùa thu hơn?,150,どちら（疑問詞）,なつ,ふゆ,いま,の,てんき,は,すごい,ですね,きょう,も,はる,78,と,,あき,80,の,,どちら,713,が,,すき,395,です,,か,,,,,,,,,,,
36,日曜日はどこかへ行きますか。,3,Will you go somewhere on Sunday?,Chủ nhật bạn sẽ đi đâu đó chứ?,154,どこか（不定代名詞）,がっこう,の,ともだち,と,べんきょう,を,します,よ,あそび,ません,にちようび,238,は,,どこ,403,か,2129,へ,,いき,271,ます,,か,,,,,,,,,,,,,
37,いつか日本の歌を歌いたいです。,4,I want to sing a Japanese song someday.,Tôi muốn hát một bài hát Nhật Bản vào một ngày nào đó.,155,いつか（不定代名詞）,まいにち,おどり,を,みて,たのしい,です,ほん,を,よみ,ます,いつ,402,か,2129,にほん,37,の,,うた,664,を,,うたい,288,たい,,です,,,,,,,,,,,
38,しろいふくとくろいふくのどちらかをえらんでください。,4,Please choose either the white clothes or the black clothes.,Hãy chọn một trong hai bộ đồ trắng hoặc đen.,156,どちらか（不定代名詞）,みどり,あか,あお,きいろ,は,だめ,ねこ,に,つくえ,を,しろい,656,ふく,116,と,656,くろい,686,ふく,655,の,,どちら,713,か,,を,,えらんで,646,ください,,,,,,,
