ID,sentence,level,hurigana,english,vietnamese,chinese,korean,indonesian,hindi,grammar,,1,2,3,4,5,6,7,8,9,10,word1_name,word1_id,word2_name,word2_id,word3_name,word3_id,word4_name,word4_id,word5_name,word5_id,word6_name,word6_id,word7_name,word7_id,word8_name,word8_id,word9_name,word9_id,word10_name,word10_id,word11_name,word11_id,word12_name,word12_id,word13_name,word13_id,word14_name,word14_id,EntityType,length,check
1,わたしは学生です。,1,わたしは学生です。,I am a student.,Tôi là học sinh.,我是学生。,저는 학생입니다.,Saya adalah pelajar.,मैं एक छात्र हूँ।,1,〜は〜です,あなた,で,せんせい,じゃない,がっこう,こども,も,に,か,まだ,わたし,5074,は,,学生,34,です,,,,,,,,,,,,,,,,,,,,,,Sentence,9,TRUE
2,これはあなたのいすです。,1,これはあなたの椅子です。,This is your chair.,Đây là ghế của bạn.,这是你的椅子。,이것은 당신의 의자입니다.,Ini adalah kursi Anda.,यह आपकी कुर्सी है।,3,〜の（所属）,つくえ,に,を,わたし,ごはん,き,いえ,ます,じゃない,ペン,これ,,は,,あなた,,の,,いす,,です,,,,,,,,,,,,,,,,,,Sentence,12,TRUE
3,ごはんをたべます。,1,ごはんを食べます。,I eat rice.,Tôi ăn cơm.,吃饭。,밥을 먹습니다.,Saya makan nasi.,खाना खाता हूँ।,81,〜を（基本助詞）,さかな,にく,のむ,たべる,で,に,と,ない,です,かいます,ごはん,,を,,たべ,309,ます,,,,,,,,,,,,,,,,,,,,,,Sentence,9,TRUE
4,りんごとみかんをかいます。,1,りんごとみかんを買います。,I buy apples and mandarins.,Tôi mua táo và quýt.,买苹果和橘子。,사과와 귤을 삽니다.,Saya membeli apel dan jeruk.,मैं सेब और संतरे खरीदता हूँ।,46,助詞 と（並列）,ごはん,のみます,かい,のむ,かう,です,たべる,たべ,のま,も,りんご,,と,,みかん,,を,,かいます,TRUE,,,,,,,,,,,,,,,,,,,Sentence,13,TRUE
5,このさかなはおいしいです。,1,この魚はおいしいです。,This fish is delicious.,Con cá này ngon.,这条鱼很好吃。,이 생선은 맛있습니다.,Ikan ini enak.,यह मछली स्वादिष्ट है।,79,い形容詞＋です（肯定）,にく,に,まずい,おいしく,を,まずく,か,ない,すし,たべます,この,,さかな,,は,,おいしい,,です,,,,,,,,,,,,,,,,,,,,Sentence,13,TRUE
6,にほんはきれいです。,1,日本はきれいです。,Japan is beautiful.,Nhật Bản đẹp.,日本很美。,일본은 아름답습니다.,Jepang itu indah.,जापान सुंदर है।,80,な形容詞＋です（肯定）,かわいい,ない,します,で,に,きたなく,きたない,すきな,じゃ,きれいに,にほん,,は,,きれい,388,です,,,,,,,,,,,,,,,,,,,,,,Sentence,10,TRUE
7,これはつくえではありません。,1,これは机ではありません。,This is not a desk.,Đây không phải là cái bàn.,这不是桌子。,이것은 책상이 아닙니다.,Ini bukan meja.,यह डेस्क नहीं है।,140,〜ではありません,も,いす,です,ない,わたし,いす,へや,かいます,を,わたし,これ,,は,,つくえ,,では,,ありません,,,,,,,,,,,,,,,,,,,,Sentence,14,TRUE
8,あなたは先生ですか。,1,あなたは先生ですか。,Are you a teacher?,Bạn là giáo viên à?,你是老师吗？,당신은 선생님입니까?,Apakah Anda seorang guru?,क्या आप शिक्षक हैं?,141,ではない（な形容詞の否定）,がくせい,じゃない,わたし,に,で,も,おとうさん,がっこう,ます,おかあさん,あなた,,は,,先生,29,です,,か,,,,,,,,,,,,,,,,,,,,Sentence,10,TRUE
9,おねえさんはねこも好きです。,2,お姉さんは猫も好きです。,My older sister also likes cats.,Chị gái tôi cũng thích mèo.,姐姐也喜欢猫。,언니는 고양이도 좋아합니다.,Kakak perempuan juga suka kucing.,बड़ी बहन को बिल्ली भी पसंद है।,52,助詞 も（主題／列挙）,おにいさん,とり,いもうと,おとうと,ない,では,で,に,を,でしょう,おねえさん,,は,,ねこ,,も,,好き,395,です,,,,,,,,,,,,,,,,,,Sentence,14,TRUE
10,おとうとは学校でべんきょうします。,2,弟は学校でべんきょうします。,My younger brother studies at school.,Em trai tôi học ở trường.,弟弟在学校学习。,남동생은 학교에서 공부합니다.,Adik laki-laki belajar di sekolah.,छोटा भाई स्कूल में पढ़ता है।,51,助詞 で（場所）,おねえさん,くうこう,ホテル,おにいさん,おとうと,いいます,に,いきます,で,ます,おとうと,,は,,学校,,で,,べんきょう,325,します,TRUE,,,,,,,,,,,,,,,,,Sentence,17,TRUE
11,おじいさんは五じまで本をよみます。,2,お爺さんは五時まで本をよみます。,My grandfather reads books until five o’clock.,Ông tôi đọc sách đến năm giờ.,爷爷读到五点。,할아버지는 5시까지 책을 읽습니다.,Kakek membaca buku sampai jam lima.,दादाजी पांच बजे तक किताब पढ़ते हैं।,53,助詞 から〜まで（範囲）,にじ,ごじ,いちじ,に,で,にほんご,いいます,たべます,から,まで,おじいさん,,は,,五,,じ,,まで,,本,560,を,,よみます,274,,,,,,,,,,,,,Sentence,17,TRUE
12,お母さんは七じにあさごはんをたべます。,2,お母さんはなな時に朝御飯を食べます。,My mother eats breakfast at seven o’clock.,Mẹ tôi ăn sáng lúc bảy giờ.,妈妈七点吃早饭。,어머니는 7시에 아침 식사를 합니다.,Ibu sarapan jam tujuh.,माँ सात बजे नाश्ता करती है।,60,時間表現（〜時／〜時に）,おとうさん,おじいさん,おばあさん,ろくじ,はちじ,へ,まで,よるごはん,のみます,ません,お母さん,87,は,,七,15,じ,,に,,あさごはん,,を,,たべます,309,,,,,,,,,,,,,Sentence,19,TRUE
13,お兄さんは学校からかえります。,2,お兄さんは学校から帰ります。,My older brother comes home from school.,Anh trai tôi trở về từ trường.,哥哥从学校回来了。,형은 학교에서 돌아옵니다.,Kakak laki-laki pulang dari sekolah.,बड़ा भाई स्कूल से वापस आता है।,65,場所方向（〜から／まで）,ホテル,おとうさん,おとうと,も,が,へや,いき,ません,ましょう,ある,お兄さん,89,は,,学校,65,から,,かえり,272,ます,,,,,,,,,,,,,,,,,,Sentence,15,TRUE
